Time,Velocity,Flow_meters,Flow_liters
0,0.608,18.219,303.65
5,0.611,18.311,305.18
10,0.598,17.926,298.77
15,0.597,17.89,298.17
20,0.615,18.426,307.10
25,0.614,18.417,306.95
30,0.598,17.939,298.98
35,0.608,18.225,303.75
40,0.613,18.388,306.47
45,0.61,18.281,304.68
50,0.619,18.563,309.38
55,0.611,18.333,305.55
60,0.614,18.417,306.95
65,0.606,18.168,302.80
70,0.612,18.346,305.77
75,0.611,18.309,305.15
80,0.622,18.658,310.97
85,0.625,18.728,312.13
90,0.61,18.279,304.65
95,0.61,18.283,304.72
100,0.602,18.056,300.93
105,0.606,18.175,302.92
110,0.622,18.639,310.65
115,0.605,18.14,302.33
120,0.612,18.342,305.70
125,0.587,17.61,293.50
130,0.59,17.699,294.98
135,0.596,17.865,297.75
140,0.586,17.577,292.95
145,0.579,17.365,289.42
150,0.6,17.986,299.77
155,0.608,18.235,303.92
160,0.609,18.267,304.45
165,0.603,18.094,301.57
170,0.596,17.879,297.98
175,0.593,17.79,296.50
180,0.593,17.79,296.50
185,0.603,18.09,301.50
190,0.611,18.306,305.10
195,0.621,18.611,310.18
200,0.615,18.431,307.18
205,0.606,18.163,302.72
210,0.603,18.086,301.43
215,0.615,18.426,307.10
220,0.611,18.308,305.13
225,0.601,18.024,300.40
230,0.601,18.024,300.40
235,0.597,17.906,298.43
240,0.594,17.799,296.65
245,0.605,18.13,302.17
250,0.603,18.095,301.58
255,0.616,18.456,307.60
260,0.61,18.305,305.08
265,0.615,18.444,307.40
270,0.61,18.293,304.88
275,0.614,18.396,306.60
280,0.603,18.088,301.47
285,0.6,18.002,300.03
290,0.605,18.134,302.23
295,0.608,18.238,303.97
300,0.605,18.145,302.42
305,0.602,18.065,301.08
310,0.6,18.004,300.07
315,0.607,18.2,303.33
320,0.61,18.288,304.80
325,0.598,17.923,298.72
330,0.602,18.057,300.95
335,0.597,17.89,298.17
340,0.602,18.042,300.70
345,0.601,18.014,300.23
350,0.607,18.191,303.18
355,0.604,18.125,302.08
360,0.615,18.455,307.58
365,0.606,18.181,303.02
370,0.606,18.185,303.08
375,0.611,18.333,305.55
380,0.605,18.137,302.28
385,0.598,17.942,299.03
390,0.602,18.043,300.72
395,0.6,17.999,299.98
400,0.604,18.112,301.87
405,0.606,18.178,302.97
410,0.596,17.884,298.07
415,0.589,17.656,294.27
420,0.599,17.948,299.13
425,0.61,18.288,304.80
430,0,0,0.00
435,0.62,18.599,309.98
440,0.611,18.322,305.37
445,0.613,18.384,306.40
450,0.602,18.061,301.02
455,0.608,18.234,303.90
460,0.612,18.338,305.63
465,0.612,18.346,305.77
470,0.608,18.237,303.95
475,0.596,17.859,297.65
480,0.602,18.037,300.62
485,0.61,18.303,305.05
490,0.767,22.989,383.15
495,0.87,26.083,434.72
500,0.897,26.899,448.32
505,0.892,26.738,445.63
510,0.911,27.317,455.28
515,0.91,27.288,454.80
520,0.88,26.388,439.80
525,0.89,26.694,444.90
530,0.878,26.336,438.93
535,0.889,26.668,444.47
540,0.886,26.58,443.00
545,0.893,26.772,446.20
550,0.911,27.311,455.18
555,0.903,27.071,451.18
560,0.891,26.72,445.33
565,0.902,27.056,450.93
570,0.884,26.498,441.63
575,0.876,26.271,437.85
580,0.874,26.214,436.90
585,0.888,26.626,443.77
590,0.887,26.602,443.37
595,0.905,27.142,452.37
600,0.891,26.718,445.30
605,0.921,27.61,460.17
610,0.927,27.799,463.32
615,0.907,27.187,453.12
620,0.899,26.957,449.28
625,0.91,27.283,454.72
630,0.912,27.347,455.78
635,0.893,26.788,446.47
640,0.913,27.366,456.10
645,0.898,26.941,449.02
650,0.903,27.079,451.32
655,0.896,26.876,447.93
660,0.899,26.967,449.45
665,0.892,26.734,445.57
670,0.897,26.893,448.22
675,0.886,26.58,443.00
680,0.885,26.547,442.45
685,0.904,27.106,451.77
690,0.906,27.162,452.70
695,0.914,27.419,456.98
700,0.929,27.852,464.20
705,0.902,27.052,450.87
710,0.909,27.261,454.35
715,0.904,27.099,451.65
720,0.91,27.278,454.63
725,0.913,27.375,456.25
730,0.903,27.076,451.27
735,0.925,27.727,462.12
740,0.897,26.883,448.05
745,0.905,27.137,452.28
750,0.906,27.162,452.70
755,0.916,27.462,457.70
760,0.935,28.037,467.28
765,0.908,27.237,453.95
770,0.905,27.123,452.05
775,0.901,27.026,450.43
780,0.885,26.549,442.48
785,0.9,26.976,449.60
790,0.901,27.011,450.18
795,0.882,26.456,440.93
800,0.887,26.597,443.28
805,0.887,26.585,443.08
810,0.894,26.794,446.57
815,0.895,26.827,447.12
820,0.891,26.709,445.15
825,0.91,27.299,454.98
