Time,Velocity,Flow_meters,Flow_liters
0,2.179,258.888,4314.80
5,2.161,256.765,4279.42
10,2.183,259.338,4322.30
15,2.121,252.04,4200.67
20,2.098,249.327,4155.45
25,2.221,263.85,4397.50
30,2.198,261.144,4352.40
35,2.152,255.733,4262.22
40,2.125,252.465,4207.75
45,2.116,251.374,4189.57
50,2.122,252.103,4201.72
55,2.1,249.553,4159.22
60,2.118,251.72,4195.33
65,2.087,247.942,4132.37
70,2.148,255.24,4254.00
75,2.121,251.983,4199.72
80,2.2,261.463,4357.72
85,2.181,259.179,4319.65
90,2.166,257.414,4290.23
95,2.122,252.098,4201.63
100,2.06,244.796,4079.93
105,2.147,255.166,4252.77
110,2.186,259.71,4328.50
115,2.193,260.52,4342.00
120,2.125,252.488,4208.13
125,2.167,257.458,4290.97
130,2.132,253.319,4221.98
135,2.163,256.959,4282.65
140,2.138,254.086,4234.77
145,2.162,256.878,4281.30
150,2.139,254.177,4236.28
155,2.168,257.649,4294.15
160,2.104,250.038,4167.30
165,2.185,259.66,4327.67
170,2.162,256.892,4281.53
175,2.104,249.996,4166.60
180,2.128,252.816,4213.60
185,2.111,250.855,4180.92
190,2.12,251.867,4197.78
195,2.093,248.719,4145.32
200,2.074,246.397,4106.62
205,2.112,250.965,4182.75
210,2.081,247.325,4122.08
215,2.179,258.876,4314.60
220,2.53,300.577,5009.62
225,2.609,309.955,5165.92
230,2.668,317.047,5284.12
235,2.81,333.923,5565.38
240,2.736,325.115,5418.58
245,2.713,322.347,5372.45
250,2.761,328.014,5466.90
255,2.703,321.17,5352.83
260,2.752,327.039,5450.65
265,2.743,325.953,5432.55
270,2.677,318.144,5302.40
275,2.646,314.425,5240.42
280,2.329,276.772,4612.87
285,2.158,256.372,4272.87
290,2.094,248.757,4145.95
295,2.09,248.377,4139.62
300,2.084,247.676,4127.93
305,2.072,246.211,4103.52
310,2.104,250.018,4166.97
315,2.049,243.472,4057.87
320,2.127,252.782,4213.03
325,2.139,254.154,4235.90
330,2.081,247.272,4121.20
335,2.092,248.521,4142.02
340,2.133,253.492,4224.87
345,2.109,250.558,4175.97
350,2.099,249.373,4156.22
355,2.587,307.37,5122.83
360,3.14,373.105,6218.42
365,3.333,396.068,6601.13
370,3.367,400.035,6667.25
375,3.333,396.008,6600.13
380,3.303,392.485,6541.42
385,3.257,386.954,6449.23
390,3.319,394.353,6572.55
395,3.257,386.958,6449.30
400,3.175,377.312,6288.53
405,3.246,385.673,6427.88
410,3.297,391.762,6529.37
415,3.333,396.038,6600.63
420,3.276,389.256,6487.60
425,3.241,385.08,6418.00
430,3.334,396.17,6602.83
435,3.249,386.036,6433.93
440,3.236,384.567,6409.45
445,3.28,389.73,6495.50
450,3.26,387.411,6456.85
455,3.265,387.995,6466.58
460,3.284,390.201,6503.35
465,3.204,380.653,6344.22
470,3.141,373.213,6220.22
475,3.068,364.524,6075.40
480,3.036,360.694,6011.57
485,3.123,371.1,6185.00
490,3.113,369.941,6165.68
495,3.173,377.017,6283.62
500,3.134,372.418,6206.97
505,3.127,371.597,6193.28
510,3.045,361.852,6030.87
515,2.944,349.786,5829.77
520,2.472,293.697,4894.95
525,2.271,269.883,4498.05
530,2.167,257.535,4292.25
535,2.146,255.033,4250.55
540,2.134,253.528,4225.47
545,2.125,252.453,4207.55
550,2.118,251.706,4195.10
555,2.152,255.649,4260.82
560,2.131,253.251,4220.85
565,2.143,254.68,4244.67
570,2.088,248.072,4134.53
575,2.09,248.328,4138.80
580,2.094,248.83,4147.17
585,2.164,257.19,4286.50
590,2.132,253.283,4221.38
595,2.129,252.97,4216.17
600,2.099,249.351,4155.85
605,2.121,252.072,4201.20
610,2.113,251.024,4183.73
615,2.157,256.319,4271.98
620,2.165,257.246,4287.43
625,2.125,252.465,4207.75
630,2.095,248.93,4148.83
635,2.155,256.066,4267.77
640,2.128,252.799,4213.32
645,2.149,255.307,4255.12
650,2.152,255.735,4262.25
655,2.148,255.201,4253.35
660,2.133,253.46,4224.33
665,2.129,253.032,4217.20
670,2.075,246.535,4108.92
675,2.126,252.597,4209.95
680,2.073,246.331,4105.52
685,2.123,252.207,4203.45
690,2.146,254.96,4249.33
695,2.102,249.808,4163.47
700,2.143,254.68,4244.67
705,2.08,247.153,4119.22
710,2.105,250.179,4169.65
715,2.043,242.729,4045.48
720,2.15,255.417,4256.95
725,2.13,253.121,4218.68
730,2.086,247.873,4131.22
735,2.079,247.05,4117.50
740,2.043,242.7,4045.00
745,2.096,249.023,4150.38
750,2.078,246.967,4116.12
755,2.133,253.427,4223.78
760,2.188,259.929,4332.15
765,2.178,258.78,4313.00
770,2.192,260.498,4341.63
775,2.291,272.167,4536.12
780,2.383,283.13,4718.83
785,2.327,276.539,4608.98
790,2.27,269.736,4495.60
795,2.362,280.692,4678.20
800,2.36,280.422,4673.70
805,2.345,278.607,4643.45
810,2.347,278.899,4648.32
815,2.334,277.346,4622.43
820,2.318,275.401,4590.02
825,2.355,279.833,4663.88
830,2.416,287.031,4783.85
835,2.408,286.111,4768.52
840,2.53,300.579,5009.65
845,2.581,306.644,5110.73
850,2.567,305.055,5084.25
855,2.649,314.769,5246.15
860,2.557,303.88,5064.67
865,2.52,299.45,4990.83
870,2.597,308.599,5143.32
875,2.568,305.17,5086.17
880,2.553,303.321,5055.35
885,2.626,312.035,5200.58
890,2.598,308.65,5144.17
895,2.597,308.561,5142.68
900,2.549,302.925,5048.75
905,2.524,299.937,4998.95
910,2.588,307.465,5124.42
915,2.642,313.94,5232.33
920,2.61,310.131,5168.85
925,2.609,309.982,5166.37
930,2.539,301.641,5027.35
935,2.562,304.421,5073.68
940,2.599,308.841,5147.35
945,2.59,307.785,5129.75
950,2.561,304.25,5070.83
955,2.549,302.918,5048.63
960,2.543,302.201,5036.68
965,2.596,308.422,5140.37
970,2.601,309.074,5151.23
975,2.611,310.268,5171.13
980,2.597,308.545,5142.42
985,2.691,319.731,5328.85
990,2.624,311.77,5196.17
995,2.696,320.39,5339.83
