Time,Velocity,Flow_meters,Flow_liters
0,0.70,21.52,358.60
5,0.65,20.10,334.95
10,0.66,20.17,336.17
15,0.66,20.32,338.60
20,0.67,20.57,342.80
25,0.64,19.72,328.63
30,0.66,20.16,335.95
35,0.66,20.16,336.02
40,0.66,20.14,335.58
45,0.70,21.56,359.33
50,0.70,21.52,358.63
55,0.68,20.82,347.00
60,0.68,20.94,349.02
65,0.64,19.72,328.60
70,0.66,20.22,336.95
75,0.67,20.55,342.53
80,0.68,20.91,348.43
85,0.69,21.15,352.55
90,0.79,24.31,405.22
95,0.80,24.65,410.78
100,0.83,25.38,422.95
105,0.81,24.80,413.38
110,0.80,24.47,407.80
115,0.78,24.08,401.35
120,0.79,24.30,405.05
125,0.79,24.39,406.50
130,0.78,23.98,399.70
135,0.81,24.85,414.23
140,0.77,23.60,393.25
145,0.84,25.70,428.28
150,0.82,25.17,419.43
155,0.81,24.78,413.05
160,0.78,24.04,400.62
165,0.81,24.81,413.53
170,0.81,24.88,414.70
175,0.80,24.71,411.88
180,0.83,25.57,426.20
185,0.89,27.45,457.42
190,0.95,29.33,488.75
195,0.93,28.58,476.38
200,0.90,27.54,459.02
205,0.86,26.47,441.20
210,0.92,28.17,469.55
215,0.92,28.30,471.70
220,0.89,27.32,455.28
225,0.89,27.36,455.93
230,0.92,28.17,469.43
235,0.88,27.14,452.27
240,0.78,23.94,398.95
245,0.68,20.92,348.72
250,0.61,18.89,314.87
255,0.60,18.41,306.88
260,0.62,19.00,316.73
265,0.62,19.00,316.72
270,0.60,18.52,308.60
275,0.63,19.24,320.60
280,0.63,19.42,323.62
285,0.62,18.90,315.05
290,0.61,18.79,313.08
295,0.61,18.77,312.80
300,0.60,18.56,309.37
305,0.60,18.41,306.88
310,0.59,18.01,300.23
315,0.61,18.66,311.02
320,0.61,18.77,312.78
325,0.66,20.23,337.23
330,0.66,20.23,337.22
335,0.67,20.65,344.18
340,0.62,19.12,318.67
345,0.66,20.14,335.63
350,0.64,19.55,325.75
355,0.66,20.34,339.03
360,0.67,20.51,341.87
365,0.67,20.64,343.92
370,0.66,20.40,339.93
375,0.65,20.09,334.85
380,0.64,19.59,326.47
385,0.63,19.25,320.78
390,0.64,19.77,329.57
395,0.65,19.96,332.58
400,0.65,20.03,333.78
405,0.65,19.98,332.98
410,0.67,20.57,342.87
415,0.68,20.75,345.87
420,0.65,20.02,333.68
425,0.67,20.51,341.88
430,0.65,19.99,333.12
435,0.66,20.19,336.47
440,0.66,20.38,339.68
445,0.65,20.00,333.25
450,0.68,20.77,346.13
455,0.70,21.48,357.95
460,0.74,22.87,381.20
465,0.75,23.16,385.95
470,0.74,22.86,380.92
475,0.74,22.78,379.60
480,0.74,22.62,376.95
485,0.75,23.08,384.73
490,0.72,22.20,369.98
495,0.75,23.17,386.15
500,0.72,22.21,370.10
