Time,Velocity,Flow_meters,Flow_liters
0,1.18,36.35,605.87
5,1.16,35.72,595.33
10,1.16,35.55,592.57
15,1.17,36.08,601.35
20,1.17,36.08,601.40
25,1.17,36.03,600.52
30,1.18,36.17,602.82
35,1.17,36.10,601.58
40,1.17,35.99,599.87
45,1.17,36.11,601.87
50,1.16,35.66,594.33
55,1.16,35.65,594.10
60,1.18,36.36,606.00
65,1.20,36.81,613.47
70,1.19,36.62,610.38
75,1.19,36.56,609.27
80,1.18,36.17,602.83
85,1.17,35.94,598.95
90,1.18,36.19,603.23
95,1.16,35.55,592.53
100,1.16,35.78,596.28
105,1.17,35.98,599.70
110,1.18,36.37,606.22
115,1.16,35.64,594.00
120,1.18,36.35,605.88
125,1.19,36.63,610.47
130,1.19,36.49,608.10
135,1.18,36.43,607.17
140,1.20,36.85,614.17
145,1.21,37.14,618.93
150,1.19,36.47,607.88
155,1.17,36.01,600.12
160,1.18,36.35,605.78
165,1.17,35.82,597.07
170,1.16,35.73,595.53
175,1.18,36.40,606.63
180,1.18,36.16,602.60
185,1.18,36.42,607.02
190,1.19,36.65,610.88
195,1.18,36.34,605.62
200,1.17,35.95,599.12
205,1.18,36.42,607.00
210,1.18,36.24,603.92
215,1.19,36.57,609.48
220,1.18,36.31,605.20
225,1.18,36.24,604.05
230,1.19,36.66,611.07
235,1.18,36.30,605.00
240,1.19,36.73,612.23
245,1.19,36.61,610.12
250,1.20,36.83,613.82
255,1.18,36.31,605.10
260,1.19,36.72,612.02
265,1.19,36.46,607.67
270,1.17,35.98,599.72
275,1.18,36.38,606.37
280,1.19,36.73,612.15
285,1.20,36.85,614.18
290,1.20,36.84,613.97
295,1.18,36.35,605.80
300,1.19,36.71,611.90
305,1.18,36.25,604.17
310,1.19,36.44,607.38
315,1.18,36.31,605.10
320,1.17,36.00,599.95
325,1.19,36.47,607.80
330,1.18,36.22,603.62
335,1.17,35.95,599.17
340,1.16,35.54,592.33
345,1.16,35.67,594.52
350,1.16,35.71,595.10
355,1.17,36.02,600.32
360,1.15,35.40,589.97
365,1.16,35.75,595.78
370,1.17,35.87,597.87
375,1.16,35.56,592.72
380,1.17,35.91,598.43
385,1.17,35.94,598.95
390,1.18,36.31,605.23
395,1.18,36.18,603.02
400,1.18,36.37,606.23
405,1.18,36.16,602.72
410,1.17,35.95,599.17
415,1.16,35.68,594.68
420,1.16,35.81,596.75
425,1.16,35.58,592.98
430,1.19,36.58,609.72
435,1.18,36.19,603.20
440,1.17,35.89,598.10
445,1.18,36.20,603.35
450,1.17,36.03,600.42
455,1.18,36.18,603.02
460,1.19,36.48,607.97
465,1.17,35.91,598.55
470,1.17,35.87,597.87
475,1.18,36.27,604.47
480,1.15,35.43,590.52
485,1.18,36.15,602.47
490,1.17,35.84,597.35
495,1.16,35.61,593.43
500,1.16,35.80,596.60
505,1.17,35.91,598.43
510,1.16,35.67,594.42
515,1.18,36.28,604.73
520,1.18,36.14,602.27
525,1.16,35.76,595.98
530,1.17,36.04,600.67
535,1.17,35.94,599.03
540,1.16,35.61,593.45
545,1.17,35.97,599.45
550,1.15,35.33,588.80
555,1.15,35.50,591.72
560,1.13,34.89,581.57
565,1.16,35.69,594.80
570,1.18,36.35,605.78
575,1.18,36.18,603.07
580,1.16,35.72,595.27
585,1.19,36.46,607.58
590,1.18,36.19,603.12
595,1.17,36.04,600.63
600,1.19,36.47,607.85
605,1.18,36.33,605.47
610,1.18,36.17,602.90
615,1.17,35.94,599.00
620,1.19,36.63,610.52
625,1.18,36.19,603.22
630,1.18,36.18,603.02
635,1.17,36.10,601.60
640,1.19,36.68,611.33
645,1.18,36.23,603.82
650,1.19,36.65,610.77
655,1.18,36.31,605.13
660,1.21,37.19,619.77
665,1.18,36.35,605.77
670,1.19,36.70,611.62
675,1.19,36.45,607.55
680,1.20,36.92,615.27
685,1.19,36.54,608.95
690,1.19,36.59,609.87
695,1.20,36.74,612.40
700,1.20,36.75,612.42
705,1.20,36.82,613.73
710,1.21,37.11,618.50
715,1.20,36.79,613.23
720,1.20,36.83,613.88
725,1.17,35.98,599.62
730,1.16,35.58,592.97
735,1.17,36.07,601.08
740,1.17,35.99,599.83
745,1.17,36.05,600.90
750,1.18,36.16,602.68
755,1.19,36.63,610.48
760,1.20,36.78,613.05
765,1.18,36.40,606.68
770,1.19,36.66,611.03
775,1.18,36.24,603.92
780,1.18,36.28,604.67
785,1.17,36.05,600.77
790,1.19,36.69,611.43
795,1.20,36.85,614.23
800,1.20,36.85,614.17
805,1.20,36.80,613.32
810,1.21,37.20,620.00
815,1.19,36.73,612.08
820,1.17,35.99,599.90
825,1.19,36.67,611.23
830,1.18,36.27,604.57
835,1.17,36.10,601.58
840,1.18,36.20,603.38
845,1.17,35.86,597.70
850,1.17,35.91,598.53
855,1.17,36.00,600.03
860,1.17,35.96,599.37
865,1.17,35.83,597.17
870,1.16,35.61,593.47
