Time,Velocity,Flow_meters,Flow_liters
0,2.90,86.92,1448.62
5,2.87,86.11,1435.08
10,2.83,84.81,1413.43
15,2.84,85.29,1421.50
20,2.80,83.99,1399.80
25,2.77,82.97,1382.75
30,2.76,82.68,1378.00
35,2.75,82.37,1372.88
40,2.75,82.47,1374.53
45,2.80,83.94,1399.02
50,2.82,84.65,1410.88
55,2.79,83.71,1395.15
60,2.77,83.18,1386.28
65,2.72,81.47,1357.83
70,2.74,82.18,1369.67
75,2.71,81.39,1356.47
80,2.76,82.84,1380.73
85,2.75,82.42,1373.65
90,2.73,81.79,1363.18
95,2.76,82.77,1379.55
100,2.78,83.31,1388.57
105,2.78,83.21,1386.85
110,2.80,83.90,1398.30
115,2.79,83.68,1394.73
120,2.75,82.37,1372.77
125,2.77,83.17,1386.18
130,2.75,82.53,1375.50
135,2.83,84.76,1412.68
140,2.76,82.80,1380.03
145,2.83,84.90,1414.97
150,2.80,83.83,1397.08
155,2.81,84.12,1402.02
160,2.80,84.04,1400.58
165,2.83,84.77,1412.85
170,2.82,84.67,1411.12
175,2.83,84.94,1415.67
180,2.79,83.76,1395.98
185,2.78,83.23,1387.15
190,2.79,83.77,1396.23
195,2.87,86.18,1436.38
200,2.81,84.17,1402.77
205,2.87,86.04,1433.92
210,2.80,83.91,1398.45
215,2.80,83.96,1399.27
220,2.81,84.13,1402.23
225,2.73,81.93,1365.55
230,2.78,83.49,1391.42
235,2.81,84.13,1402.17
240,2.78,83.25,1387.48
245,2.83,84.77,1412.80
250,2.80,84.06,1401.00
255,2.81,84.14,1402.40
260,2.84,85.15,1419.15
265,2.81,84.27,1404.50
270,2.79,83.59,1393.17
275,2.82,84.53,1408.80
280,2.85,85.55,1425.80
285,2.82,84.46,1407.70
290,2.77,83.15,1385.75
295,2.85,85.48,1424.63
300,2.87,85.95,1432.53
,,,
