Time,Velocity,Flow_meters,Flow_liters,,,
0,0.21,6.21,103.42,,,
5,0.21,6.17,102.87,,,
10,0.21,6.23,103.88,,,
15,0.21,6.25,104.15,,,
20,0.48,14.52,242.02,,,
25,0.67,19.97,332.77,,,
30,0.72,21.47,357.80,,,
35,0.75,22.40,373.30,,,
40,0.77,23.19,386.45,,,
45,0.78,23.52,391.95,,,
50,0.79,23.60,393.30,,,
55,0.79,23.68,394.60,,,
60,0.95,28.38,473.00,,,
65,1.01,30.22,503.68,,,
70,1.01,30.33,505.57,,,
75,1.05,31.42,523.63,,,
80,1.11,33.37,556.20,,,
85,1.11,33.30,555.07,,,
90,1.09,32.61,543.43,,,
95,1.13,33.86,564.37,,,
100,1.14,34.14,568.93,,,
105,1.14,34.02,567.00,,,
110,1.14,34.29,571.43,,,
115,1.15,34.55,575.87,,,
120,1.16,34.81,580.12,,,
125,1.14,34.23,570.48,,,
130,1.13,34.00,566.70,,,
135,1.14,34.12,568.72,,,
140,1.15,34.45,574.18,,,
145,1.15,34.52,575.28,,,
150,1.15,34.37,572.78,,,
155,1.14,34.04,567.40,,,
160,1.15,34.61,576.87,,,
