Time,Velocity,Flow_meters,Flow_liters
0,0.54,16.25,270.85
5,0.55,16.36,272.58
10,0.54,16.19,269.87
15,0.54,16.28,271.32
20,0.55,16.41,273.48
25,0.55,16.48,274.68
30,0.55,16.60,276.67
35,0.54,16.15,269.17
40,0.54,16.15,269.13
45,0.53,15.97,266.08
50,0.54,16.27,271.22
55,0.55,16.42,273.70
60,0.54,16.24,270.67
65,0.54,16.20,269.97
70,0.54,16.12,268.67
75,0.53,15.98,266.40
80,0.53,16.00,266.63
85,0.54,16.29,271.43
90,0.54,16.20,269.98
95,0.55,16.37,272.82
100,0.55,16.35,272.53
105,0.54,16.12,268.67
110,0.56,16.69,278.10
115,0.56,16.79,279.90
120,0.55,16.59,276.48
125,0.56,16.92,282.05
130,0.58,17.25,287.53
135,0.57,17.03,283.80
140,0.57,16.99,283.12
145,0.57,17.12,285.37
150,0.57,16.93,282.13
155,0.56,16.87,281.20
160,0.57,17.15,285.83
165,0.57,17.16,286.03
170,0.58,17.48,291.32
175,0.57,17.19,286.47
180,0.58,17.27,287.80
185,0.58,17.24,287.30
190,0.57,17.12,285.27
195,0.57,17.22,287.02
200,0.58,17.48,291.28
205,0.60,17.91,298.50
210,0.71,21.19,353.17
215,0.74,22.29,371.52
220,0.77,23.07,384.52
225,0.76,22.87,381.10
230,0.77,23.02,383.63
235,0.77,23.09,384.75
240,0.77,23.14,385.58
245,0.76,22.91,381.77
250,0.77,23.09,384.82
255,0.77,23.05,384.13
260,0.79,23.62,393.72
265,0.79,23.55,392.45
270,0.77,23.00,383.37
275,0.76,22.92,381.95
280,0.78,23.34,388.95
285,0.78,23.25,387.50
290,0.78,23.23,387.23
295,0.77,23.07,384.42
300,0.77,22.95,382.48
305,0.78,23.28,387.97
310,0.77,23.17,386.18
315,0.77,23.19,386.45
320,0.79,23.62,393.70
325,0.79,23.53,392.13
330,0.79,23.81,396.82
335,0.78,23.52,392.03
340,0.79,23.70,394.97
345,0.79,23.69,394.82
350,0.79,23.55,392.43
355,0.78,23.31,388.57
360,0.78,23.26,387.73
365,0.77,22.95,382.45
370,0.78,23.23,387.13
375,0.78,23.28,387.95
380,0.78,23.39,389.83
385,0.77,23.22,386.98
390,0.77,23.06,384.25
395,0.78,23.24,387.33
400,0.76,22.89,381.50
405,0.76,22.87,381.13
410,0.77,23.04,384.05
415,0.77,23.17,386.15
420,0.77,23.07,384.5333333
425,0.77,23.15,385.8833333
430,0.75,22.50,375
435,0.77,22.96,382.6166667
440,0.76,22.83,380.5666667
445,0.76,22.71,378.5166667
450,0.75,22.57,376.1666667
455,0.76,22.85,380.8666667
460,0.77,22.98,382.9833333
465,0.77,22.95,382.4666667
470,0.76,22.89,381.4833333
475,0.77,23.09,384.8166667
480,0.77,23.07,384.45
485,0.77,23.13,385.45
490,0.76,22.84,380.7166667
495,0.77,23.06,384.35
500,0.77,23.08,384.7
505,0.76,22.86,380.9166667
510,0.75,22.57,376.2
515,0.76,22.92,382.0333333
520,0.76,22.80,380.0166667
525,0.77,22.99,383.1666667
530,0.77,23.03,383.9
535,0.76,22.89,381.5666667
540,0.78,23.23,387.2333333
545,0.75,22.57,376.2333333
550,0.76,22.80,380.0333333
555,0.76,22.85,380.8
560,0.77,22.97,382.75
565,0.77,23.05,384.15
570,0.76,22.92,381.9333333
575,0.74,22.22,370.2833333
580,0.72,21.52,358.65
585,0.71,21.19,353.2333333
590,0.70,21.07,351.0833333
595,0.71,21.18,353
600,0.69,20.80,346.6833333
605,0.70,21.08,351.2666667
610,0.70,21.03,350.5166667
615,0.70,21.05,350.8166667
620,0.70,21.07,351.1333333
625,0.70,20.95,349.2333333
630,0.70,20.94,349.0333333
635,0.70,20.88,347.9333333
640,0.70,21.01,350.2166667
645,0.71,21.15,352.55
650,0.71,21.34,355.5833333
655,0.70,20.97,349.4833333
660,0.69,20.79,346.5
665,0.70,20.88,348.0333333
670,0.70,20.96,349.35
675,0.72,21.48,358.05
680,0.70,21.03,350.5166667
685,0.71,21.37,356.2
690,0.70,21.09,351.5
695,0.71,21.23,353.8333333
700,0.71,21.23,353.8
705,0.71,21.25,354.1333333
710,0.70,20.91,348.5333333
715,0.69,20.77,346.2166667
720,0.70,20.94,349
725,0.71,21.18,353
730,0.70,21.00,349.9666667
735,0.70,21.00,350
740,0.70,21.01,350.2
745,0.70,20.90,348.3833333
750,0.69,20.73,345.4166667
755,0.72,21.42,357.0666667
760,0.71,21.26,354.3333333
765,0.71,21.36,355.9666667
770,0.73,21.75,362.45
775,0.72,21.47,357.9
780,0.71,21.34,355.6833333
785,0.71,21.17,352.8333333
790,0.70,20.83,347.2333333
795,0.70,20.91,348.55
800,0.69,20.81,346.9
805,0.69,20.68,344.6833333
810,0.70,21.00,350
815,0.69,20.59,343.2333333
820,0.69,20.78,346.3833333
825,0.72,21.68,361.35
830,0.75,22.61,376.8166667
835,0.75,22.57,376.2166667
840,0.77,23.04,384.0166667
845,0.78,23.34,388.9166667
850,0.76,22.63,377.1
855,0.76,22.81,380.15
860,0.77,22.93,382.2
865,0.76,22.90,381.6333333
870,0.75,22.53,375.4166667
875,0.76,22.71,378.5166667
880,0.77,23.01,383.5
885,0.76,22.88,381.3666667
890,0.76,22.88,381.2833333
895,0.72,21.68,361.2666667
900,0.71,21.27,354.5666667
905,0.70,21.12,351.95
910,0.69,20.75,345.8166667
915,0.70,20.92,348.65
920,0.71,21.14,352.2833333
925,0.70,21.01,350.1833333
930,0.71,21.26,354.2666667
935,0.71,21.27,354.45
940,0.72,21.45,357.5666667
945,0.72,21.53,358.85
950,0.71,21.33,355.5666667
955,0.71,21.25,354.2333333
960,0.70,20.90,348.2833333
965,0.70,20.84,347.2833333
970,0.70,21.09,351.5166667
975,0.71,21.29,354.8833333
980,0.71,21.26,354.35
985,0.71,21.32,355.3666667
990,0.71,21.37,356.2166667
995,0.71,21.32,355.4
1000,0.71,21.41,356.75
1005,0.69,20.76,345.9666667
1010,0.71,21.14,352.3
1015,0.70,21.09,351.4166667
1020,0.70,20.85,347.5666667
1025,0.70,20.91,348.5333333
1030,0.71,21.21,353.45
1035,0.70,21.10,351.6
1040,0.70,20.93,348.8166667
1045,0.70,20.87,347.8833333
1050,0.70,21.00,349.9333333
1055,0.70,20.99,349.8666667
1060,0.70,21.05,350.8166667
1065,0.70,21.12,352.0333333
1070,0.70,20.87,347.8
1075,0.70,20.98,349.5833333
1080,0.69,20.63,343.7833333
1085,0.70,20.88,348.0666667
1090,0.70,20.87,347.8833333
1095,0.72,21.46,357.6666667
1100,0.72,21.43,357.2166667
1105,0.71,21.29,354.8
1110,0.70,21.12,351.9166667
1115,0.70,21.05,350.7833333
1120,0.71,21.21,353.5166667
1125,0.70,21.08,351.3333333
1130,0.71,21.33,355.55
1135,0.70,21.04,350.7
1140,0.74,22.07,367.9
1145,0.78,23.29,388.15
1150,0.77,22.94,382.3666667
1155,0.77,23.06,384.4
1160,0.71,21.29,354.7666667
1165,0.63,18.75,312.4333333
1170,0.60,17.96,299.2833333
1175,0.63,18.83,313.7833333
1180,0.73,21.92,365.3166667
1185,0.77,22.95,382.4166667
1190,0.73,21.86,364.35
1195,0.73,21.73,362.0833333
1200,0.72,21.66,361.0333333
1205,0.72,21.57,359.5333333
1210,0.71,21.24,354
1215,0.72,21.46,357.7166667
1220,0.70,21.07,351.1833333
1225,0.71,21.39,356.4666667
1230,0.70,20.95,349.1166667
1235,0.70,20.89,348.15
1240,0.70,20.91,348.4833333
1245,0.70,20.98,349.6166667
1250,0.70,20.92,348.7
1255,0.71,21.31,355.0833333
1260,0.71,21.16,352.7
1265,0.70,21.06,351.05
1270,0.70,21.04,350.6333333
1275,0.71,21.22,353.7333333
1280,0.70,21.10,351.7333333
1285,0.71,21.13,352.2333333
