Time,Velocity,Flow_meters,Flow_liters
0,0.56,16.88,281.32
5,0.54,16.16,269.25
10,0.55,16.40,273.27
15,0.55,16.35,272.52
20,0.55,16.35,272.48
25,0.55,16.34,272.33
30,0.54,16.21,270.17
35,0.55,16.42,273.65
40,0.55,16.35,272.53
45,0.54,16.26,271.07
50,0.53,15.97,266.13
55,0.54,16.29,271.57
60,0.54,16.32,272.07
65,0.55,16.58,276.33
70,0.54,16.14,269.05
75,0.55,16.39,273.18
80,0.53,16.00,266.70
85,0.54,16.28,271.28
90,0.55,16.44,273.93
95,0.54,16.18,269.73
100,0.54,16.20,269.92
105,0.54,16.24,270.58
110,0.54,16.21,270.13
115,0.54,16.11,268.52
120,0.54,16.06,267.65
125,0.53,16.01,266.85
130,0.52,15.66,260.92
135,0.54,16.05,267.43
140,0.54,16.23,270.57
145,0.55,16.52,275.40
150,0.55,16.45,274.08
155,0.53,16.00,266.73
160,0.54,16.19,269.77
165,0.54,16.25,270.82
170,0.54,16.27,271.17
175,0.53,15.93,265.47
180,0.56,16.63,277.13
185,0.56,16.65,277.52
190,0.55,16.38,273.02
195,0.54,16.30,271.70
200,0.55,16.45,274.20
205,0.55,16.44,273.95
210,0.55,16.34,272.38
215,0.54,16.03,267.12
220,0.54,16.25,270.78
225,0.54,16.27,271.18
230,0.54,16.20,269.95
235,0.54,16.03,267.20
240,0.53,16.02,267.02
245,0.53,15.85,264.18
250,0.54,16.24,270.62
255,0.54,16.31,271.80
260,0.55,16.52,275.28
265,0.55,16.48,274.65
270,0.56,16.79,279.85
275,0.55,16.44,273.97
280,0.55,16.33,272.23
285,0.53,16.00,266.58
290,0.54,16.03,267.13
295,0.54,16.27,271.13
300,0.54,16.03,267.22
305,0.55,16.62,276.98
310,0.55,16.54,275.65
315,0.55,16.39,273.10
320,0.55,16.52,275.32
325,0.55,16.33,272.17
330,0.54,16.30,271.72
335,0.55,16.48,274.60
340,0.55,16.35,272.47
345,0.54,16.31,271.75
350,0.55,16.58,276.27
355,0.55,16.41,273.42
360,0.55,16.38,272.97
365,0.55,16.44,273.98
370,0.54,16.32,272.02
375,0.56,16.72,278.58
380,0.56,16.66,277.72
385,0.55,16.59,276.42
390,0.54,16.30,271.72
395,0.54,16.26,270.93
400,0.54,16.28,271.33
405,0.54,16.17,269.43
