indice,Date,Time,FQI171,PIR171
1,9/1/2023,9/1/2023 0:00,124.78,15.25
2,9/1/2023,9/1/2023 0:01,105.25,15.42
3,9/1/2023,9/1/2023 0:02,43.40,15.66
4,9/1/2023,9/1/2023 0:04,0.00,15.77
5,9/1/2023,9/1/2023 0:05,38.11,15.82
6,9/1/2023,9/1/2023 0:07,76.22,15.76
7,9/1/2023,9/1/2023 0:08,77.25,15.77
8,9/1/2023,9/1/2023 0:10,90.42,15.75
9,9/1/2023,9/1/2023 0:11,102.50,15.74
10,9/1/2023,9/1/2023 0:13,129.58,15.64
11,9/1/2023,9/1/2023 0:14,173.63,15.40
12,9/1/2023,9/1/2023 0:16,156.73,15.50
13,9/1/2023,9/1/2023 0:17,150.14,15.53
14,9/1/2023,9/1/2023 0:19,148.27,15.55
15,9/1/2023,9/1/2023 0:20,154.89,15.51
16,9/1/2023,9/1/2023 0:22,164.83,15.45
17,9/1/2023,9/1/2023 0:23,181.83,15.34
18,9/1/2023,9/1/2023 0:25,241.62,14.98
19,9/1/2023,9/1/2023 0:26,244.56,14.84
20,9/1/2023,9/1/2023 0:28,222.29,14.98
21,9/1/2023,9/1/2023 0:29,217.70,15.00
22,9/1/2023,9/1/2023 0:31,203.31,15.07
23,9/1/2023,9/1/2023 0:32,171.30,15.26
24,9/1/2023,9/1/2023 0:34,170.91,15.27
25,9/1/2023,9/1/2023 0:35,245.15,14.78
26,9/1/2023,9/1/2023 0:37,278.93,14.49
27,9/1/2023,9/1/2023 0:38,267.50,14.52
28,9/1/2023,9/1/2023 0:40,339.15,13.89
29,9/1/2023,9/1/2023 0:41,306.07,14.00
30,9/1/2023,9/1/2023 0:43,250.92,14.49
31,9/1/2023,9/1/2023 0:44,161.67,15.15
32,9/1/2023,9/1/2023 0:46,158.45,15.19
33,9/1/2023,9/1/2023 0:47,158.18,15.19
34,9/1/2023,9/1/2023 0:49,159.45,15.19
35,9/1/2023,9/1/2023 0:50,147.75,15.26
36,9/1/2023,9/1/2023 0:52,106.00,15.46
37,9/1/2023,9/1/2023 0:53,58.13,15.61
38,9/1/2023,9/1/2023 0:55,46.09,15.75
39,9/1/2023,9/1/2023 0:56,92.18,15.60
40,9/1/2023,9/1/2023 0:58,80.78,15.55
41,9/1/2023,9/1/2023 0:59,185.57,15.14
42,9/1/2023,9/1/2023 1:01,196.55,15.02
43,9/1/2023,9/1/2023 1:02,235.54,14.69
44,9/1/2023,9/1/2023 1:04,346.80,13.81
45,9/1/2023,9/1/2023 1:05,320.56,13.78
