TIME,BOVEDA_CAUDAL_ENT,TEMP_ENT_BOVEDA,TEMP_SAL_BOVEDA,MW_BOV_DISPTERM,SEMITINO_CAUDAL_ENT,SEMITINO_TEMP_ENT,SEMITINO_TEMP_RET,MW_SEM_DISPTERM,BOVEDIN_CAUDAL_ENT,BOVEDIN_TEMP_ENT,BOVEDIN_TEMP_RET,MW_BODIN_DISPTERM,LANZA1_CAUDAL_ENT,LANZA1_TEMP_ENT,LANZA1_TEMP_RET,MW_LANZAS_DISPTERM,ANILLO_SACRIF_CAUDAL_ENT,ANILLO_SACRIF_TEMP_ENT,ANILLO_SACRIF_TEMP_RET,MW_ANISAC_DISPTERM,POTENCIA TOTAL 
 00:00:00,554.6,40,58,11.60,491.9,35.8,41.1,3.03,17.46,36.8,45.3,0.17,16.56,37.3,38.1,0.05,15.66,38.2,44.5,0.11,14.97
 00:00:30,554.3,39,57,11.60,490.5,36,40.5,2.57,17.46,37,45.8,0.18,16.56,37.1,38.1,0.06,15.54,38.6,44,0.10,14.50
 00:01:00,554.5,40,57,10.96,491.8,36,41,2.86,17.46,37.8,45.7,0.16,16.56,37,38.5,0.09,15.54,38.2,43.7,0.10,14.16
 00:01:30,555.1,39,58,12.26,491.4,36,41.6,3.20,17.46,37.8,45,0.15,16.56,37.6,38.8,0.07,15.6,38,42.8,0.09,15.76
 00:02:00,554.2,40,58,11.59,491.6,35.9,41.5,3.20,17.46,37.6,45.1,0.15,16.56,37.6,38.4,0.05,15.66,37.9,42.5,0.08,15.08
 00:02:30,554.4,40,58,11.60,491.6,36,41.5,3.14,17.4,36.8,45.5,0.18,16.56,37.3,38.3,0.06,15.6,37.5,42.4,0.09,15.06
 00:03:00,554.3,40,58,11.60,492.1,36,41.1,2.92,17.46,37.1,46,0.18,16.56,37,38.4,0.08,15.6,37.8,41.9,0.07,14.85
 00:03:30,554.5,39,58,12.24,491.5,35.7,41.2,3.14,17.4,37.8,46,0.17,16.56,37.1,38.5,0.08,15.6,37.4,42.8,0.10,15.73
 00:04:00,554.7,40,57,10.96,491.3,35.9,41.4,3.14,17.46,37.8,45.8,0.16,16.56,37.3,38.6,0.08,15.6,38.3,42.8,0.08,14.42
 00:04:30,554.7,40,57,10.96,491,36.1,41.4,3.02,17.4,36.8,45.2,0.17,16.56,37.4,38.4,0.06,15.54,38.4,43.1,0.08,14.30
