TIME,BOVEDA_CAUDAL_ENT,TEMP_ENT_BOVEDA,TEMP_SAL_BOVEDA,MW_BOV_DISPTERM,SEMITINO_CAUDAL_ENT,SEMITINO_TEMP_ENT,SEMITINO_TEMP_RET,MW_SEM_DISPTERM,BOVEDIN_CAUDAL_ENT,BOVEDIN_TEMP_ENT,BOVEDIN_TEMP_RET,MW_BODIN_DISPTERM,LANZA1_CAUDAL_ENT,LANZA1_TEMP_ENT,LANZA1_TEMP_RET,MW_LANZAS1_DISPTERM,LANZA2_CAUDAL_ENT,LANZA2_TEMP_ENT,LANZA2_TEMP_RET,MW_LANZAS2_DISPTERM,LANZA3_CAUDAL_ENT,LANZA3_TEMP_ENT,LANZA3_TEMP_RET,MW_LANZAS3_DISPTERM,ANILLO_SACRIF_CAUDAL_ENT,ANILLO_SACRIF_TEMP_ENT,ANILLO_SACRIF_TEMP_RET,MW_ANISAC_DISPTERM,CAUDAL_H2O_ENFRIAM_1,TEMP_DIF_ENFRIAM_1,MW__ENFRIAM_1_ DISPTERM,CAUDAL_H2O_ENFRIAM_2,TEMP_DIF_ENFRIAM_2,MW__ENFRIAM_2_ DISPTERM,POTENCIATOTAL_H4,TEMP_AG_INGRESO,CAUDAL_PNORTE_5A,TEMP_AG_CASETA_PNORTE_5A,MW_PNORTE_DISPTERM,CAUDAL_TECHO_5B,TEMP_AG_CASETA_TECHO_5B,MW_TECHO_DISPTERM,CAUDAL_PESTE_5C,TEMP_AG_CASETA_PESTE_5C,MW_PESTE_5C_DISPTERM,CAUDAL_PORTON,TEMP_AG_CASETA _PORTON_5D,MW_PORTON_DISPTERM,CAUDAL_PSUR_5E,TEMP_AG_CASETA_PSUR_5E,MW_PSUR_5E_DISPTERM,CAUDAL_CODOMOVIL,TEMP_AG_CODOMOVIL,MW_CODOMOVIL_DISPTERM,CAUDAL_TRONQUETO,TEMP_AG_CASETA TRONQUETO,MW_TRONQUETO_DISPTERM,CASET_TOTAL,PROM_TEMP_PRIM,CAUDAL_IN_PRIM,MW_PRIM_DISPTERM,MW_H4
 05:46:30,554.8,37,51,9,492.4,33.7,36.5,1.6,17.5,34.7,41.5,0.14,16.6,35.1,35.6,0.01,15.4,35.5,37.8,0.04,17.9,35.1,36.6,0.03,15.6,36.8,40.7,0.07,49.44,4,0.23,47.94,4,0.22,11.4,37,191.1,41,0.89,191.1,41,0.89,199.4,41,0.93,197,40,0.69,153.9,40,0.54,439.2,49,6.13,182,43,1.27,11.32,40.1,1737,6.3,29
 05:47:00,554.2,37,52,9.7,493.1,33.3,37,2.1,17.4,35.5,41,0.11,16.5,34.8,36,0.02,15.4,35.7,37.2,0.03,17.9,35.2,36.9,0.04,15.6,36.3,40.5,0.08,49.02,4,0.23,48.54,4,0.23,12.5,37,198.8,41,0.92,198.8,42,1.16,197.8,41,0.92,195.4,40,0.68,149.2,40,0.52,444.1,50,6.71,191.4,44,1.56,12.47,40.3,1701,6.5,31.5
 05:47:30,553.6,38,52,9,493.2,33.2,37.5,2.5,17.4,34.9,41.4,0.13,16.5,34.9,35.6,0.01,15.4,35.5,37.8,0.04,17.9,34.9,36.6,0.04,15.6,36,40.3,0.08,48.84,4,0.23,48.12,4,0.22,12.2,38,197.6,41,0.69,197.6,42,0.92,199.2,41,0.69,196.8,41,0.69,152.4,41,0.53,457.5,51,6.91,191.8,44,1.34,11.77,40.6,1696,5.1,29.1
 05:48:00,554.7,37,52,9.7,491.5,33.6,36.7,1.8,17.5,34.9,40.9,0.12,16.6,34.9,35.9,0.02,15.4,35.5,37.1,0.03,17.9,35.1,36.7,0.03,15.6,36.2,40,0.07,49.2,4,0.23,48.36,4,0.22,12.2,37,191.2,41,0.89,191.2,42,1.11,197.8,41,0.92,195.4,41,0.91,152.2,41,0.71,454.1,52,7.92,193.9,44,1.58,14.03,40.8,1708,7.5,33.8
 05:48:30,555.1,37,52,9.7,491.9,33.8,37.9,2.3,17.4,35,40.5,0.11,16.6,35.1,35.9,0.02,15.4,35.4,37.3,0.03,17.9,35.3,36.6,0.03,15.6,36.9,40.7,0.07,49.2,4,0.23,48.3,4,0.22,12.7,37,192.2,41,0.89,192.2,42,1.12,198.9,41,0.92,196.5,41,0.91,153.8,41,0.71,454.6,50,6.87,195.1,43,1.36,12.79,40.6,1701,7.1,32.6
 05:49:00,555.4,37,52,9.7,491.7,33.5,37.6,2.3,17.4,35.2,40.2,0.1,16.6,35,35.7,0.01,15.4,35.6,37.8,0.04,17.9,34.8,36.3,0.03,15.6,36.2,40.9,0.09,49.2,4,0.23,48.66,4,0.23,12.8,37,197.1,40,0.69,197.1,42,1.15,196.4,40,0.68,194,41,0.9,153.3,40,0.53,460.4,48,5.89,195.4,43,1.36,11.2,40.1,1701,6.1,30.1
 05:49:30,554.5,37,51,9,490.9,33.7,37.1,1.9,17.5,35,39.9,0.1,16.6,35,35.8,0.02,15.4,35.3,37.6,0.04,17.9,35.2,36.3,0.02,15.6,36.9,41,0.07,49.26,4,0.23,48.12,4,0.22,11.7,37,192.2,40,0.67,192.2,42,1.12,197.4,40,0.69,195,40,0.68,153.4,40,0.53,462.4,46,4.84,195.6,42,1.14,9.66,39.8,1719,5.6,27
 05:50:00,556.2,37,50,8.4,492,33.5,36.9,1.9,17.4,35,40.1,0.1,16.6,34.6,35.9,0.03,15.4,35.8,37.3,0.03,17.9,35,36.4,0.03,15.6,36.5,41.2,0.09,49.32,5,0.29,48.42,4,0.22,11.1,37,191.1,40,0.67,191.1,41,0.89,198.8,39,0.46,196.4,40,0.68,152.8,40,0.53,463,45,4.3,195.4,41,0.91,8.45,39.4,1731,4.8,24.4
 05:50:30,555.3,37,50,8.4,492.4,33.4,37.2,2.2,17.5,35,40,0.1,16.5,35,35.8,0.02,15.4,35.6,37,0.02,17.9,35.2,36.4,0.02,15.6,36.6,40.9,0.08,49.26,4,0.23,48.24,4,0.22,11.3,37,192.4,39,0.45,192.4,41,0.89,200.1,39,0.47,197.7,40,0.69,154.9,40,0.54,463.2,43,3.23,194,41,0.9,7.17,38.9,1706,3.8,22.2
 05:51:00,554.5,38,49,7.1,492.7,33.5,37.4,2.2,17.4,35.4,39.7,0.09,16.6,34.7,35.8,0.02,15.4,35.6,36.8,0.02,17.9,35,36.3,0.03,15.7,36.6,40.7,0.07,49.08,5,0.29,48.36,4,0.22,10.1,38,192.7,39,0.22,192.7,40,0.45,198.6,39,0.23,196.2,39,0.23,152.2,39,0.18,463.3,43,2.69,194.5,40,0.45,4.45,38.8,1726,1.6,16.2
 05:51:30,554.9,37,50,8.4,493.2,33.4,36.9,2,17.4,35.2,40.7,0.11,16.6,34.4,35.5,0.02,15.4,35.3,37.1,0.03,17.9,34.8,36.3,0.03,15.7,36.5,40.5,0.07,49.38,4,0.23,48.48,4,0.23,11.1,37,189.6,39,0.44,189.6,40,0.66,198.8,39,0.46,196.4,39,0.46,152.5,39,0.35,325.8,42,1.89,192.2,40,0.67,4.94,38.6,1694,3.2,19.2
 05:52:00,554.4,37,50,8.4,492.1,33.5,37.1,2.1,17.5,34.6,41.1,0.13,16.6,34.7,35.3,0.01,15.4,35.4,37.4,0.04,17.9,34.7,36.1,0.03,15.6,36.9,41.4,0.08,48.78,4,0.23,48.24,4,0.22,11.2,37,186.8,39,0.43,186.8,40,0.65,202.7,39,0.47,200.3,39,0.47,152.6,39,0.35,436.1,43,3.04,191.1,40,0.67,6.08,38.9,1709,3.8,21.1
 05:52:30,554.6,37,51,9,492.6,33.5,36.6,1.8,17.5,34.6,40.4,0.12,16.5,35,35.6,0.01,15.4,35.1,36.9,0.03,17.9,35,36.1,0.02,15.6,36.9,41.7,0.09,49.44,4,0.23,48.3,4,0.22,11.5,37,186,40,0.65,186,40,0.65,201.2,39,0.47,198.8,40,0.69,153.1,40,0.53,474.1,44,3.86,192.9,41,0.9,7.75,39.2,1689,4.3,23.6
 05:53:00,555.8,37,51,9,492.9,33.4,37.7,2.5,17.5,35.2,40.6,0.11,16.6,35,35.7,0.01,15.4,35.4,36.7,0.02,17.9,35,36.1,0.02,15.7,36.9,41.8,0.09,49.2,4,0.23,48.3,4,0.22,12.2,37,188.9,40,0.66,188.9,41,0.88,201.4,40,0.7,199,40,0.69,153.8,40,0.54,484.7,45,4.51,193,41,0.9,8.87,39.3,1756,4.7,25.8
 05:53:30,555.1,37,52,9.7,492.8,33.7,37.3,2.1,17.5,35.6,41.4,0.12,16.6,34.4,35.6,0.02,15.4,35.8,37.2,0.02,17.9,34.9,36.3,0.03,15.6,36.7,42.1,0.1,49.02,4,0.23,48.3,4,0.22,12.5,37,191.3,40,0.67,191.3,41,0.89,199.9,40,0.7,197.4,40,0.69,152.7,40,0.53,491.5,46,5.14,193,41,0.9,9.51,39.6,1755,5.3,27.3
 05:54:00,554.7,37,53,10.3,491.9,33.6,37.1,2,17.5,34.6,41.4,0.14,16.6,34.7,35.4,0.01,15.4,35.4,37.5,0.04,17.9,34.8,36,0.03,15.6,35.8,42.1,0.11,49.2,4,0.23,48.24,4,0.22,13.1,37,195.3,40,0.68,195.3,41,0.91,195.5,40,0.68,193.1,40,0.67,154.2,40,0.54,473.2,46,4.95,194.8,41,0.91,9.34,39.9,1700,5.7,28.2
 05:54:30,554.6,37,53,10.3,491.4,33.8,36.5,1.5,17.5,35.1,41.9,0.14,16.6,34.6,35.6,0.02,15.4,35.6,37.7,0.04,17.9,34.8,36.3,0.03,15.6,36.5,41.6,0.09,49.08,4,0.23,48.06,4,0.22,12.6,37,195.3,40,0.68,195.3,41,0.91,198.7,40,0.69,196.3,40,0.68,152.2,40,0.53,439.2,46,4.59,195.4,41,0.91,9,39.9,1691,5.7,27.3
 05:55:00,554.1,37,53,10.3,492.1,33.6,37.1,2,17.4,35.2,41.1,0.12,16.5,35.1,35.7,0.01,15.3,35.5,36.8,0.02,17.9,35.3,36,0.01,15.6,36.2,42.3,0.11,48.9,4,0.23,48.42,4,0.22,13,37,196.5,40,0.69,196.5,41,0.91,200.4,40,0.7,198,40,0.69,152.4,40,0.53,444.1,46,4.65,192.5,41,0.89,9.06,39.9,1738,5.9,27.9
 05:55:30,554.1,38,53,9.7,491.8,33.5,37.4,2.2,17.4,35.2,41.3,0.12,16.5,35.1,35.8,0.01,15.4,35.7,36.8,0.02,17.9,35.3,36.2,0.02,15.6,36.2,41.5,0.1,48.9,4,0.23,48.3,4,0.22,12.6,38,191.9,40,0.45,191.9,41,0.67,200.8,40,0.47,198.4,40,0.46,152.7,40,0.35,457.5,46,4.25,193.3,41,0.67,7.33,39.9,1629,3.6,23.5
 05:56:00,554,37,53,10.3,492.3,33.9,38.2,2.5,17.5,35.7,42.2,0.13,16.6,34.8,36,0.02,15.3,35.8,37.8,0.04,17.9,35,36.6,0.03,15.5,36.7,41.7,0.09,49.08,5,0.29,48,4,0.22,13.6,37,183.5,40,0.64,183.5,41,0.85,201.5,40,0.7,199.1,40,0.69,153.9,40,0.54,454.1,46,4.75,194.9,41,0.91,9.08,39.9,1734,5.8,28.5
 05:56:30,554.6,37,53,10.3,491.7,33.7,38.8,2.9,17.5,34.6,42,0.15,16.6,35.1,35.6,0.01,15.4,35.4,37.8,0.04,17.9,35.1,36.5,0.03,15.6,36.6,42.1,0.1,49.26,5,0.29,48.36,4,0.22,14.1,37,190.7,40,0.66,190.7,41,0.89,201.9,40,0.7,199.5,40,0.7,154.2,40,0.54,454.6,46,4.76,193.5,41,0.9,9.14,39.8,1719,5.6,28.8
