indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;24/10/2022;0:00:00;7535,21;13,6;6328,75;0;0;173,67;1032,8
2;24/10/2022;0:01:29;7780,67;13,24;6359;0;80,17;139,1;1202,4
3;24/10/2022;0:02:59;8333,65;13,19;6383;0;150,12;130;1670,53
4;24/10/2022;0:04:29;8145;13,1;6369,59;0;76,6;117,83;1580,98
5;24/10/2022;0:05:59;7967,73;12,93;6285;0;106,5;171,38;1404,86
6;24/10/2022;0:07:29;7525,13;13,23;4680;0;236,06;262,11;2346,97
7;24/10/2022;0:08:59;7240,4;13,46;4687,89;0;124,86;151,29;2276,37
8;24/10/2022;0:10:29;6720,54;13,56;4340;0;194,41;158,87;2027,25
9;24/10/2022;0:11:59;6511,87;13,99;3151,33;0;250,5;213,22;2896,81
10;24/10/2022;0:13:29;6925,47;13,82;4571,67;0;86,06;152,63;2115,12
11;24/10/2022;0:14:59;7238,67;13,78;4697,07;0;109,76;174,8;2257,03
12;24/10/2022;0:16:29;6847,73;13,76;4511,47;0;122,41;133;2080,86
13;24/10/2022;0:17:59;6227,36;14,26;2898,5;0;298,89;250,5;2779,47
14;24/10/2022;0:19:29;4961,18;14,73;1816,41;0;229,06;194,67;2721,04
15;24/10/2022;0:20:59;7314,29;13,84;6169,29;0;99,39;64;981,61
16;24/10/2022;0:22:29;7077,44;13,77;4998,41;0;198,78;160,44;1719,8
17;24/10/2022;0:23:59;4748,5;14,37;1293,67;0;298,17;223,7;2932,97
18;24/10/2022;0:25:29;4490,12;14,94;1033,46;0;254,11;231;2971,54
19;24/10/2022;0:26:59;3604;15,09;972,13;0;115,44;179;2337,43
20;24/10/2022;0:28:29;3393,94;14,97;956,73;0;146,33;188,78;2102,1
21;24/10/2022;0:29:59;3695,06;15,24;1018,58;0;193,38;174,11;2308,99
22;24/10/2022;0:31:29;2692,75;15,07;922;0;60,63;81,22;1628,9
23;24/10/2022;0:32:59;4407,67;15,14;1752,67;0;149,78;192,22;2313
24;24/10/2022;0:34:29;4652,33;14,98;2769,07;0;51,5;155,78;1675,98
25;24/10/2022;0:35:59;4664;14,82;2650,4;0;90,27;178,56;1744,77
26;24/10/2022;0:37:29;4206,94;14,9;2160;0;145;133,11;1768,83
27;24/10/2022;0:38:59;4056,06;15,1;1813,63;0;211,65;179,11;1851,67
28;24/10/2022;0:40:29;2769,17;15,16;975,79;0;123,88;177,11;1492,39
29;24/10/2022;0:41:59;2588,22;15,43;600,14;0;190,35;217,56;1580,17
30;24/10/2022;0:43:29;1953,31;15,36;882,4;0;138,4;159,33;773,18
31;24/10/2022;0:44:59;3069,39;15,42;993,73;0;161,61;151,89;1762,16
32;24/10/2022;0:46:29;2621,12;15,34;1076,88;0;166,31;120,56;1257,37
33;24/10/2022;0:47:59;3973,22;14,98;2517,35;0;110,4;134,89;1210,58
34;24/10/2022;0:49:29;4613,73;15,1;2622,47;0;141,56;204,67;1645,04
35;24/10/2022;0:50:59;3937,76;14,89;2536;0;75,6;143,17;1183
36;24/10/2022;0:52:29;4913,5;15;2604;0;319,89;163,67;1825,94
37;24/10/2022;0:53:59;4001,67;14,99;2601,53;0;108,25;107,56;1184,33
38;24/10/2022;0:55:29;4429,22;14,67;2847,73;0;54,88;152;1374,61
39;24/10/2022;0:56:59;6959,24;14,46;5506,38;0;237,33;159,33;1056,19
40;24/10/2022;0:58:29;7165,86;13,9;6332,29;0;68,5;85,71;679,35
41;24/10/2022;0:59:59;7461,8;13,47;6350,46;0;137;87,22;887,12
42;24/10/2022;1:01:29;8032,35;13,3;6374,85;0;205,5;118;1334,01
43;24/10/2022;1:02:59;8024,43;13,18;6376,93;0;75,77;166,67;1405,06
44;24/10/2022;1:04:29;8076,94;13,13;6378,91;0;89;197,86;1411,17
45;24/10/2022;1:05:59;7577,73;13,13;5327,13;0;276,61;168,33;1805,66
46;24/10/2022;1:07:29;7412,73;13,53;4824;0;202,19;176,33;2210,21
47;24/10/2022;1:08:59;7651,06;13,61;5792,79;0;122,69;132,56;1603,03
48;24/10/2022;1:10:29;8034,24;13,47;6336,35;0;187,06;165,25;1345,58
49;24/10/2022;1:11:59;7501,29;13,47;5529,63;0;175,25;254,22;1542,2
