TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 05:00:00;4.500.000;2.850.000;3.890.000;11.240;280;6.880.000;4.630.000;11.510;34,9;39,6
12 02 2023 05:01:00;4.610.000;2.940.000;3.930.000;11.480;270;7.030.000;4.560.000;11.590;35,1;39,6
12 02 2023 05:02:00;4.590.000;2.980.000;3.780.000;11.350;240;6.990.000;4.630.000;11.620;35,0;39,7
12 02 2023 05:03:00;4.590.000;2.970.000;3.810.000;11.370;280;7.100.000;4.630.000;11.730;35,0;39,6
12 02 2023 05:04:00;4.510.000;2.890.000;3.870.000;11.270;285;7.070.000;4.600.000;11.670;34,9;39,5
12 02 2023 05:05:00;4.560.000;2.890.000;3.860.000;11.310;303;7.040.000;4.530.000;11.570;35,3;39,5
12 02 2023 05:06:00;4.530.000;2.970.000;3.880.000;11.380;306;6.990.000;4.630.000;11.620;35,6;39,6
12 02 2023 05:07:00;4.600.000;2.740.000;3.860.000;11.200;327;7.050.000;4.630.000;11.680;34,9;39,5
12 02 2023 05:08:00;4.520.000;2.970.000;3.710.000;11.200;234;6.960.000;4.640.000;11.600;34,8;39,2
12 02 2023 05:09:00;4.600.000;2.890.000;3.850.000;11.340;248;7.010.000;4.580.000;11.590;34,3;38,7
12 02 2023 05:10:00;4.580.000;2.940.000;3.830.000;11.350;239;7.080.000;4.600.000;11.680;34,1;38,4
12 02 2023 05:11:00;4.590.000;2.980.000;3.890.000;11.460;283;7.110.000;4.650.000;11.760;33,4;38,0
12 02 2023 05:12:00;4.590.000;2.880.000;3.830.000;11.300;253;7.070.000;4.560.000;11.630;32,6;37,7
12 02 2023 05:13:00;4.650.000;3.050.000;3.840.000;11.540;203;6.990.000;4.620.000;11.610;32,8;37,6
12 02 2023 05:14:00;4.530.000;2.960.000;3.870.000;11.360;215;7.100.000;4.620.000;11.720;32,6;37,4
12 02 2023 05:15:00;4.630.000;2.930.000;3.790.000;11.350;300;7.080.000;4.780.000;11.860;33,1;37,4
12 02 2023 05:16:00;4.550.000;3.000.000;3.890.000;11.440;249;7.060.000;4.630.000;11.690;32,4;37,4
12 02 2023 05:17:00;4.560.000;3.020.000;3.840.000;11.420;179;7.120.000;4.600.000;11.720;32,3;37,4
12 02 2023 05:18:00;4.590.000;2.940.000;3.790.000;11.320;283;7.060.000;4.630.000;11.690;32,9;37,3
12 02 2023 05:19:00;4.560.000;2.960.000;3.770.000;11.290;244;6.980.000;4.550.000;11.530;32,3;37,2
12 02 2023 05:20:00;4.520.000;3.030.000;3.900.000;11.450;256;7.150.000;4.560.000;11.710;33,2;37,2
12 02 2023 05:21:00;4.580.000;2.920.000;3.880.000;11.380;295;7.100.000;4.660.000;11.760;32,9;37,3
12 02 2023 05:22:00;4.600.000;2.960.000;3.890.000;11.450;272;7.110.000;4.580.000;11.690;32,9;37,5
12 02 2023 05:23:00;4.560.000;2.850.000;3.840.000;11.250;272;7.070.000;4.610.000;11.680;33,3;37,8
12 02 2023 05:24:00;4.660.000;2.980.000;3.940.000;11.580;254;7.030.000;4.660.000;11.690;33,3;37,9
12 02 2023 05:25:00;4.570.000;2.970.000;3.850.000;11.390;323;7.000.000;4.570.000;11.570;33,4;38,0
12 02 2023 05:26:00;4.570.000;2.990.000;3.830.000;11.390;266;7.000.000;4.580.000;11.580;33,6;38,0
12 02 2023 05:27:00;4.600.000;2.890.000;3.830.000;11.320;243;6.990.000;4.630.000;11.620;33,5;38,0
12 02 2023 05:28:00;4.610.000;2.880.000;3.860.000;11.350;200;7.090.000;4.630.000;11.720;33,2;37,9
12 02 2023 05:29:00;4.530.000;2.940.000;3.850.000;11.320;203;7.110.000;4.660.000;11.770;33,5;37,9
12 02 2023 05:30:00;4.620.000;2.910.000;3.900.000;11.430;251;6.990.000;4.600.000;11.590;33,4;37,7
12 02 2023 05:31:00;4.520.000;2.960.000;3.830.000;11.310;242;7.180.000;4.560.000;11.740;32,9;37,5
12 02 2023 05:32:00;4.590.000;2.960.000;3.870.000;11.420;276;7.010.000;4.580.000;11.590;32,3;37,2
12 02 2023 05:33:00;4.600.000;2.980.000;3.910.000;11.490;310;6.980.000;4.560.000;11.540;32,9;37,1
12 02 2023 05:34:00;4.570.000;2.950.000;3.800.000;11.320;281;7.040.000;4.570.000;11.610;32,4;37,2
12 02 2023 05:35:00;4.570.000;2.820.000;3.910.000;11.300;278;7.050.000;4.630.000;11.680;32,7;37,3
12 02 2023 05:36:00;4.570.000;2.990.000;3.920.000;11.480;273;7.050.000;4.650.000;11.700;33,1;37,5
