indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;9/10/2022;22:30:00;5396,00;13,97;2579,50;706,50;15,50;75,50;2019,00
2;9/10/2022;22:30:00;5428,57;13,99;2608,43;705,70;1,50;74,24;2038,70
3;9/10/2022;22:30:01;5425,14;13,98;2616,86;704,40;0,00;74,48;2029,41
4;9/10/2022;22:30:02;5421,71;13,99;2625,29;703,10;0,76;74,71;2017,85
5;9/10/2022;22:30:03;5418,29;13,99;2633,71;701,80;1,53;74,95;2006,29
6;9/10/2022;22:30:04;5414,86;14,00;2642,14;700,50;2,29;75,19;1994,73
7;9/10/2022;22:30:05;5411,43;14,00;2650,57;699,20;3,06;75,43;1983,17
8;9/10/2022;22:30:06;5408,00;13,99;2659,00;697,90;3,82;75,67;1971,61
9;9/10/2022;22:30:07;5402,67;13,99;2670,00;696,60;4,59;75,90;1955,57
10;9/10/2022;22:30:08;5397,33;14,00;2681,00;695,30;5,35;76,14;1939,54
11;9/10/2022;22:30:09;5392,00;14,00;2692,00;694,00;6,12;76,38;1923,50
12;9/10/2022;22:30:10;5389,00;13,99;2684,67;695,91;6,88;76,62;1924,92
13;9/10/2022;22:30:11;5386,00;13,97;2677,33;697,82;7,65;76,86;1926,34
14;9/10/2022;22:30:12;5383,00;13,96;2670,00;699,73;8,41;77,10;1927,77
15;9/10/2022;22:30:13;5380,00;13,97;2668,63;701,64;9,18;77,33;1923,23
16;9/10/2022;22:30:14;5377,00;13,98;2667,25;703,55;9,94;77,57;1918,69
17;9/10/2022;22:30:15;5374,00;13,99;2665,88;705,45;10,71;77,81;1914,16
18;9/10/2022;22:30:16;5371,00;13,99;2664,50;707,36;11,47;78,05;1909,62
19;9/10/2022;22:30:17;5368,00;13,98;2663,13;709,27;12,24;78,29;1905,08
20;9/10/2022;22:30:18;5366,60;13,97;2661,75;711,18;13,00;78,52;1902,14
21;9/10/2022;22:30:19;5365,20;13,97;2660,38;713,09;13,76;78,76;1899,21
22;9/10/2022;22:30:20;5363,80;13,96;2659,00;715,00;14,53;79,00;1896,27
23;9/10/2022;22:30:21;5362,40;13,97;2656,40;715,40;15,29;78,90;1896,41
