TIEMPO;TOTAL ENTRADA;REPOSICION;TOTAL RETORNO;TTORRE;TRETORNO
12 02 2023 05:00:00;11.240;280;11.510;34,9;39,6
12 02 2023 05:01:00;11.480;270;11.590;35,1;39,6
12 02 2023 05:02:00;11.350;240;11.620;35,0;39,7
12 02 2023 05:03:00;11.370;280;11.730;35,0;39,6
12 02 2023 05:04:00;11.270;285;11.670;34,9;39,5
12 02 2023 05:05:00;11.310;303;11.570;35,3;39,5
12 02 2023 05:06:00;11.380;306;11.620;35,6;39,6
12 02 2023 05:07:00;11.200;327;11.680;34,9;39,5
12 02 2023 05:08:00;11.200;234;11.600;34,8;39,2
12 02 2023 05:09:00;11.340;248;11.590;34,3;38,7
12 02 2023 05:10:00;11.350;239;11.680;34,1;38,4
12 02 2023 05:11:00;11.460;283;11.760;33,4;38,0
12 02 2023 05:12:00;11.300;253;11.630;32,6;37,7
12 02 2023 05:13:00;11.540;203;11.610;32,8;37,6
12 02 2023 05:14:00;11.360;215;11.720;32,6;37,4
12 02 2023 05:15:00;11.350;300;11.860;33,1;37,4
12 02 2023 05:16:00;11.440;249;11.690;32,4;37,4
12 02 2023 05:17:00;11.420;179;11.720;32,3;37,4
12 02 2023 05:18:00;11.320;283;11.690;32,9;37,3
12 02 2023 05:19:00;11.290;244;11.530;32,3;37,2
12 02 2023 05:20:00;11.450;256;11.710;33,2;37,2
12 02 2023 05:21:00;11.380;295;11.760;32,9;37,3
12 02 2023 05:22:00;11.450;272;11.690;32,9;37,5
12 02 2023 05:23:00;11.250;272;11.680;33,3;37,8
12 02 2023 05:24:00;11.580;254;11.690;33,3;37,9
12 02 2023 05:25:00;11.390;323;11.570;33,4;38,0
12 02 2023 05:26:00;11.390;266;11.580;33,6;38,0
12 02 2023 05:27:00;11.320;243;11.620;33,5;38,0
12 02 2023 05:28:00;11.350;200;11.720;33,2;37,9
12 02 2023 05:29:00;11.320;203;11.770;33,5;37,9
12 02 2023 05:30:00;11.430;251;11.590;33,4;37,7
12 02 2023 05:31:00;11.310;242;11.740;32,9;37,5
12 02 2023 05:32:00;11.420;276;11.590;32,3;37,2
12 02 2023 05:33:00;11.490;310;11.540;32,9;37,1
12 02 2023 05:34:00;11.320;281;11.610;32,4;37,2
12 02 2023 05:35:00;11.300;278;11.680;32,7;37,3
12 02 2023 05:36:00;11.480;273;11.700;33,1;37,5
12 02 2023 05:37:00;11.370;267;11.750;33,1;37,7
12 02 2023 05:38:00;11.300;229;11.660;32,9;37,7
12 02 2023 05:39:00;11.570;228;11.680;33,6;37,6
12 02 2023 05:40:00;11.430;235;11.650;33,1;37,6
12 02 2023 05:41:00;11.370;251;11.690;32,6;37,5
12 02 2023 05:42:00;11.310;236;11.640;33,3;37,4
12 02 2023 05:43:00;11.370;263;11.660;33,1;37,2
12 02 2023 05:44:00;11.490;250;11.780;32,3;37,0
12 02 2023 05:45:00;11.320;263;11.840;32,2;36,9
12 02 2023 05:46:00;11.430;205;11.720;32,7;36,9
12 02 2023 05:47:00;11.300;212;11.700;32,5;37,1
12 02 2023 05:48:00;11.250;248;11.680;32,7;37,3
12 02 2023 05:49:00;11.430;237;11.650;32,9;37,7
12 02 2023 05:50:00;11.310;171;11.760;34,0;38,2
12 02 2023 05:51:00;11.350;329;11.710;34,1;38,9
12 02 2023 05:52:00;11.240;273;11.720;34,5;39,3
12 02 2023 05:53:00;11.260;272;11.670;35,2;39,2
12 02 2023 05:54:00;11.360;259;11.580;34,1;38,8
12 02 2023 05:55:00;11.550;238;11.690;34,2;38,5
12 02 2023 05:56:00;11.460;230;11.600;33,5;38,3
12 02 2023 05:57:00;11.290;231;11.700;33,6;38,5
12 02 2023 05:58:00;11.450;247;11.490;34,3;38,7
12 02 2023 05:59:00;11.100;257;11.760;33,8;38,8
12 02 2023 06:00:00;11.440;256;11.630;34,4;38,9
12 02 2023 06:01:00;11.230;233;11.600;34,4;38,9
12 02 2023 06:02:00;11.430;246;11.670;33,9;38,9
12 02 2023 06:03:00;11.460;304;11.680;34,6;39,0
12 02 2023 06:04:00;11.430;292;11.750;34,8;39,1
12 02 2023 06:05:00;11.490;236;11.660;34,9;39,1
12 02 2023 06:06:00;11.330;207;11.670;35,2;39,1
12 02 2023 06:07:00;11.190;248;11.650;35,1;39,1
12 02 2023 06:08:00;11.310;249;11.790;34,8;39,1
12 02 2023 06:09:00;11.400;290;11.590;34,5;39,0
12 02 2023 06:10:00;11.300;241;11.710;34,5;39,0
12 02 2023 06:11:00;11.220;240;11.720;34,0;39,0
12 02 2023 06:12:00;11.490;237;11.680;34,2;39,0
12 02 2023 06:13:00;11.370;245;11.700;33,9;38,9
12 02 2023 06:14:00;11.550;270;11.620;33,8;38,8
12 02 2023 06:15:00;11.520;283;11.590;33,8;38,6
12 02 2023 06:16:00;11.450;321;11.690;33,7;38,5
12 02 2023 06:17:00;11.390;275;11.740;34,4;38,6
12 02 2023 06:18:00;11.380;279;11.870;34,2;38,5
12 02 2023 06:19:00;11.410;247;11.750;34,0;38,5
