indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173
1;3/10/2022;0:00:00;2569,47;15,18;0;0;168,94;188,1
2;3/10/2023;0:01:29;2250,33;14,95;0;673,33;83,14;168
3;3/10/2024;0:02:59;3297,25;15,09;0;870,56;161,56;137,11
4;3/10/2025;0:04:29;3280,94;14,92;0;1670,25;91,43;103,67
5;3/10/2026;0:05:59;4536;14,7;0;2576;111,91;113,29
6;3/10/2027;0:07:29;4526,44;14,72;0;2686;99,13;164,25
7;3/10/2028;0:08:59;4416,41;14,56;0;2602,22;93,88;111,33
8;3/10/2029;0:10:29;5002,39;14,43;0;3107,67;236,67;113,22
9;3/10/2030;0:11:59;3328,2;14,77;0;862;176,62;134,13
10;3/10/2031;0:13:29;3232;14,82;0;1332,4;116,81;98,7
11;3/10/2032;0:14:59;4044,28;14,74;0;2280,3;77,78;105,44
12;3/10/2033;0:16:29;4337,06;14,77;22,42;2646,25;134,27;186,4
13;3/10/2034;0:17:59;4141,83;14,68;44,83;2567,33;59,67;68,78
14;3/10/2035;0:19:29;6261,08;14,53;67,25;4827,67;57,83;64
15;3/10/2036;0:20:59;6352,37;14,31;89,67;5054,33;34,5;69,88
16;3/10/2037;0:22:29;6502,86;14,12;112,08;5057,38;69;89,5
17;3/10/2038;0:23:59;6721;14,04;134,5;5055;90,1;182,89
18;3/10/2039;0:25:29;6675,29;13,96;156,92;5057,13;90,3;130
19;3/10/2040;0:26:59;6733,79;13,9;179,33;5058,2;97,38;117
20;3/10/2041;0:28:29;6852,38;13,94;201,75;5071,38;121,56;114,5
21;3/10/2042;0:29:59;6744,06;13,91;224,17;5063,63;101;108,78
22;3/10/2043;0:31:29;6908,64;13,94;246,58;5070,25;100,56;197
23;3/10/2044;0:32:59;6859,71;13,89;269;5062,89;126,7;158,33
24;3/10/2045;0:34:29;6858,87;13,96;291,42;5055,5;123,14;114,38
25;3/10/2046;0:35:59;6557;13,89;313,83;5030,25;61,5;96,22
26;3/10/2047;0:37:29;6265,54;13,71;336,25;4977,25;29,5;53,38
27;3/10/2048;0:38:59;5999,75;13,38;358,67;4896,78;69,67;141,2
28;3/10/2049;0:40:29;5290,36;13,3;381,08;3614,11;126,56;188,33
29;3/10/2050;0:41:59;4507,54;13,36;403,5;2744;172,69;130
30;3/10/2051;0:43:29;3048,07;13,73;425,92;849,67;198,13;144
31;3/10/2052;0:44:59;3068;14,06;448,33;861,33;200,46;143,86
32;3/10/2053;0:46:29;3064,85;14,43;0;865,33;196,5;160,33
33;3/10/2054;0:47:59;2893,06;14,59;0;846,89;157,07;247,89
34;3/10/2055;0:49:29;3039,94;14,94;0;875,22;197,53;142,44
35;3/10/2056;0:50:59;2865,94;14,9;0;1170,75;68,6;77,67
36;3/10/2057;0:52:29;4991,12;14,72;0;3518,44;80,27;81,63
37;3/10/2058;0:53:59;3114,25;14,93;0;1113,75;181,39;134,67
38;3/10/2059;0:55:29;2375,93;15;0;575,22;135,5;240,22
39;3/10/2060;0:56:59;2194,17;15,16;0;579,75;144,64;132,67
40;3/10/2061;0:58:29;2413,53;15,2;0;819,14;120,25;112,78
41;3/10/2062;0:59:59;2422,87;15,09;0;819;76,45;101,25
42;3/10/2063;1:01:29;4285,41;15,1;0;2497,78;114,72;118,44
43;3/10/2064;1:02:59;3688,22;14,83;0;2628,56;50,8;155,89
44;3/10/2065;1:04:29;4934,82;14,85;0;3063,9;114,13;127
45;3/10/2066;1:05:59;3267,35;15,07;0;1115,22;201,4;140,56
46;3/10/2067;1:07:29;2117,24;14,97;0;765,5;97,37;75
47;3/10/2068;1:08:59;4031,81;15,18;0;1706,89;178,22;138,38
48;3/10/2069;1:10:29;4186,87;15,2;0;2556,33;112,19;165,78
49;3/10/2070;1:11:59;3307,31;14,78;0;2125,22;45,67;115,1
50;3/10/2071;1:13:29;4853,53;15,16;0;2373,89;235,71;213,75
51;3/10/2072;1:14:59;4987,13;15,02;0;3202;128,17;81,6
52;3/10/2073;1:16:29;6064,67;14,54;0;5051,78;51,09;53,75
53;3/10/2074;1:17:59;6778,19;14,37;0;5075,67;102,18;107,5
54;3/10/2075;1:19:29;6795,19;14,34;0;5064,67;91,47;203,38
55;3/10/2076;1:20:59;6448,71;14,1;0;5040,44;55,67;56
56;3/10/2077;1:22:29;6474,67;13,93;0;5044,78;36;88,13
57;3/10/2078;1:23:59;6321,93;13,67;0;5026,25;25,02;36,5
58;3/10/2079;1:25:29;6214;13,36;0;5016,56;50,05;12
59;3/10/2080;1:26:59;6465,79;13,11;0;5015,89;75,07;203,67
60;3/10/2081;1:28:29;6444,46;12,95;0;4996,78;100,1;102,86
61;3/10/2082;1:29:59;6559,7;12,8;0;5011,33;125,13;93,88
62;3/10/2083;1:31:29;6623,14;12,72;0;5001,22;104,61;102,17
63;3/10/2084;1:32:59;6670,07;12,67;0;4990,25;106,64;103,29
64;3/10/2085;1:34:29;6807,79;12,66;0;4990,29;96,94;213,89
65;3/10/2086;1:35:59;6758,75;12,65;0;4494;108,07;129,13
66;3/10/2087;1:37:29;6851,94;12,69;0;5007;116;111,5
67;3/10/2088;1:38:59;5493,57;12,88;0;3552,13;205,07;142,67
68;3/10/2089;1:40:29;3852,94;13,51;0;929,25;258,35;174,29
69;3/10/2090;1:41:59;6188,88;13,36;0;4267,1;5,5;141,67
70;3/10/2091;1:43:29;6538,13;13,2;0;5010,89;70,25;134
71;3/10/2092;1:44:59;5281,06;13,4;0;3300,22;196,21;134,8
72;3/10/2093;1:46:29;2968,18;13,98;0;281,4;269,62;174,25
73;3/10/2094;1:47:59;2723,87;14,54;0;40,04;247,46;166,71
74;3/10/2095;1:49:29;2754;14,99;0;80,09;230,33;219,38
75;3/10/2096;1:50:59;2216,87;15,26;0;120,13;164,64;213
76;3/10/2097;1:52:29;2101,58;15,45;0;160,18;170,86;125,86
77;3/10/2098;1:53:59;1544,69;15,49;0;200,22;106,69;94,63
78;3/10/2099;1:55:29;1857,56;15,45;0;240,26;162,15;118,78
79;3/10/2100;1:56:59;1816,87;15,63;0;280,31;138,13;128,78
80;3/10/2101;1:58:29;1436,2;15,47;0;320,35;26,33;236,33
81;3/10/2102;1:59:59;1770,54;15,46;0;360,4;133,53;144,89
82;3/10/2103;2:01:29;1936,58;15,52;0;400,44;133,38;111
83;3/10/2104;2:02:59;1861,18;15,54;0;440,49;112,53;104,25
84;3/10/2105;2:04:29;1823,47;15,54;0;480,53;119,71;113,1
85;3/10/2106;2:05:59;2147,91;15,34;0;520,57;177,11;100,57
86;3/10/2107;2:07:29;2067,76;15,55;0;560,62;136,75;176,89
87;3/10/2108;2:08:59;1011,18;15,09;0;600,66;85,63;109,33
88;3/10/2109;2:10:29;2210,06;15,29;0;640,71;171,25;141,22
89;3/10/2110;2:11:59;1830,35;15,33;0;680,75;101,38;77,5
90;3/10/2111;2:13:29;2198,44;14,97;0;958,33;14;36,33
91;3/10/2112;2:14:59;4207,4;14,87;0;2576,1;93,69;96,57
92;3/10/2113;2:16:29;4156;14,78;35,87;2614;73,86;102,78
93;3/10/2114;2:17:59;3677,87;14,68;71,74;2098,56;132,75;220,63
94;3/10/2115;2:19:29;4772,16;14,61;107,61;3110,78;102,6;85,4
95;3/10/2116;2:20:59;2972,19;14,82;143,47;855,33;151,76;123,33
96;3/10/2117;2:22:29;3345,31;14,8;179,34;1262,22;118,18;106,89
97;3/10/2118;2:23:59;4637,67;14,84;215,21;2723,67;81,18;99,78
98;3/10/2119;2:25:29;4452,36;14,67;251,08;2862,33;74,33;73,5
99;3/10/2120;2:26:59;4334,6;14,78;286,95;1918,5;177,64;188,25
100;3/10/2121;2:28:29;5971;14,54;322,82;4306;21,75;133,44
101;3/10/2122;2:29:59;6520,4;14,21;358,68;5050,9;32,44;1,5
102;3/10/2123;2:31:29;6858,28;14,02;394,55;5058,11;64,88;82,71
