indice;Fecha ;Tmie;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FIQ151
1;4/10/2022;0:00:00;7725,00;13,13;790,00;5016,56;163,47;122,20;1632,77
2;4/10/2022;0:01:29;8041,20;13,06;1350,00;4891,89;218,50;105,11;1475,70
3;4/10/2022;0:02:59;8134,31;12,99;2574,75;3825,75;161,13;106,22;1466,46
4;4/10/2022;0:04:29;7938,50;12,84;2585,77;3798,25;121,61;87,00;1345,87
5;4/10/2022;0:05:59;7716,13;12,66;2514,64;3778,50;150,29;73,11;1199,58
6;4/10/2022;0:07:29;7553,37;12,49;2522,69;3570,44;30,13;83,25;1346,86
7;4/10/2022;0:08:59;7765,59;12,38;2569,31;3585,38;95,88;94,75;1420,27
8;4/10/2022;0:10:29;8711,79;12,22;3791,00;3602,00;181,36;65,14;1072,29
9;4/10/2022;0:11:59;10468,50;11,90;4180,61;5073,33;202,14;155,20;857,21
10;4/10/2022;0:13:29;8285,07;12,25;934,54;5067,67;219,73;130,67;1932,47
11;4/10/2022;0:14:59;7590,78;12,40;2389,78;3232,00;270,50;133,60;1564,90
12;4/10/2022;0:16:29;5610,06;12,80;2557,19;816,71;206,87;138,50;1890,79
13;4/10/2022;0:17:59;5522,65;12,95;2590,88;754,89;225,50;105,25;1846,13
14;4/10/2022;0:19:29;7777,27;12,64;6061,88;667,33;78,00;41,00;929,06
15;4/10/2022;0:20:59;8252,07;12,41;6324,93;711,44;46,39;79,50;1089,81
16;4/10/2022;0:22:29;10049,33;12,03;6265,06;2888,78;92,78;76,40;726,32
17;4/10/2022;0:23:59;11503,56;11,78;4982,15;5080,11;339,33;142,83;959,12
18;4/10/2022;0:25:29;9726,05;12,02;5787,93;1606,11;218,00;119,25;1994,76
19;4/10/2022;0:26:59;9092,43;12,20;6348,50;770,13;221,39;117,86;1634,56
20;4/10/2022;0:28:29;7814,43;12,41;4943,47;801,63;183,13;137,63;1748,58
21;4/10/2022;0:29:59;7312,00;12,59;4549,69;785,11;201,44;124,25;1651,51
22;4/10/2022;0:31:29;7177,83;12,66;4545,63;764,43;193,63;106,38;1567,78
23;4/10/2022;0:32:59;7095,12;12,76;4531,86;787,89;140,87;113,25;1521,25
24;4/10/2022;0:34:29;5820,47;13,02;2785,29;815,88;240,31;139,67;1839,33
25;4/10/2022;0:35:59;5617,12;13,27;2637,00;834,40;229,58;141,33;1774,81
26;4/10/2022;0:37:29;5197,87;13,66;1998,13;827,67;196,65;128,89;2046,54
27;4/10/2022;0:38:59;4459,56;14,06;1002,21;876,75;334,88;161,11;2084,60
28;4/10/2022;0:40:29;4131,73;14,59;747,43;922,60;278,00;179,89;2003,82
29;4/10/2022;0:41:59;3447,63;15,13;0,00;906,00;229,81;166,11;2145,70
30;4/10/2022;0:43:29;2617,24;15,19;0,00;818,67;225,82;97,89;1474,86
31;4/10/2022;0:44:59;3101,09;15,39;0,00;891,75;195,00;147,56;1866,79
32;4/10/2022;0:46:29;2835,35;15,31;940,80;742,22;90,29;70,00;992,04
33;4/10/2022;0:47:59;5199,74;14,69;1262,41;2811,56;42,33;25,44;1057,99
34;4/10/2022;0:49:29;7387,44;14,41;2540,85;3592,90;64,60;50,89;1138,20
35;4/10/2022;0:50:59;7052,20;14,00;2545,08;3569,17;129,20;4,67;804,08
36;4/10/2022;0:52:29;7208,06;13,62;2497,07;3626,30;112,13;9,33;963,23
37;4/10/2022;0:53:59;7089,00;13,27;2504,57;3612,50;69,78;14,00;888,15
38;4/10/2022;0:55:29;7172,11;12,91;2519,20;3605,00;139,56;46,11;862,24
39;4/10/2022;0:56:59;7177,19;12,70;2206,62;3636,44;74,13;92,22;1167,78
40;4/10/2022;0:58:29;7641,65;12,50;3873,73;2643,89;61,80;45,13;1017,10
41;4/10/2022;0:59:59;8370,38;12,31;6292,69;722,89;163,19;92,11;1099,50
42;4/10/2022;1:01:29;4808,75;12,87;1200,87;892,78;299,35;188,13;2227,63
43;4/10/2022;1:02:59;4225,65;13,26;1009,50;842,63;253,47;200,22;1919,83
44;4/10/2022;1:04:29;4469,88;13,57;1513,19;790,83;200,12;193,56;1772,19
45;4/10/2022;1:05:59;4912,33;13,57;2513,14;783,25;111,00;101,67;1403,27
46;4/10/2022;1:07:29;6329,65;13,43;4235,50;680,33;127,94;75,83;1210,04
47;4/10/2022;1:08:59;7961,19;12,98;6323,00;678,78;4,00;33,17;922,24
48;4/10/2022;1:10:29;8170,20;12,64;6345,85;699,22;8,00;66,33;1050,80
49;4/10/2022;1:11:59;8361,15;12,45;6350,21;637,67;147,62;92,50;1133,15
50;4/10/2022;1:13:29;7988,23;12,42;6358,69;5,00;103,08;99,17;1422,29
51;4/10/2022;1:14:59;6837,40;12,56;4794,06;336,00;276,13;140,70;1290,52
52;4/10/2022;1:16:29;7954,07;12,55;5659,67;743,78;82,92;75,00;1392,71
53;4/10/2022;1:17:59;7396,65;12,64;4480,13;766,63;290,53;111,88;1747,49
54;4/10/2022;1:19:29;7360,67;12,71;4605,29;752,67;294,89;99,67;1608,15
55;4/10/2022;1:20:59;6675,29;12,95;3787,73;835,89;199,56;144,50;1707,60
56;4/10/2022;1:22:29;7206,36;13,21;4219,24;769,44;137,43;101,14;1979,11
57;4/10/2022;1:23:59;8010,38;12,98;5605,56;1151,11;178,71;21,60;1053,40
58;4/10/2022;1:25:29;7588,47;13,22;2793,79;2553,67;174,44;143,38;1923,21
59;4/10/2022;1:26:59;6164,63;13,54;1193,07;2724,56;218,63;145,78;1882,59
60;4/10/2022;1:28:29;5296,12;13,89;789,36;2135,67;291,65;145,25;1934,19
61;4/10/2022;1:29:59;6198,24;14,03;155,50;4418,56;161,53;130,67;1331,98
62;4/10/2022;1:31:29;3774,25;14,56;311,00;920,67;329,17;174,56;2038,86
63;4/10/2022;1:32:59;3954,06;15,05;199,78;1069,11;304,72;168,67;2211,79
64;4/10/2022;1:34:29;4346,69;15,15;399,56;2629,78;116,63;95,14;1105,59
65;4/10/2022;1:35:59;4238,61;14,81;599,33;2867,00;160,18;77,25;534,85
66;4/10/2022;1:37:29;4512,61;14,75;799,11;2175,33;162,25;81,17;1294,75
67;4/10/2022;1:38:59;6463,89;14,19;877,13;4837,00;34,07;13,73;701,95
68;4/10/2022;1:40:29;8105,06;13,67;2191,13;5023,44;68,14;27,47;794,88
69;4/10/2022;1:41:59;8264,75;13,16;2440,62;4995,78;58,17;41,20;728,99
70;4/10/2022;1:43:29;8290,89;12,68;2557,31;4974,11;116,33;54,93;588,20
