indice;Time;Date ;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;12/10/2022;0:00:00;4631,37;13,98;964,56;1522,36;125,00;80,44;1939,00
2;12/10/2022;0:01:29;6320,00;13,77;2264,25;2472,38;62,89;187,78;1332,71
3;12/10/2022;0:02:59;5609,25;13,66;984,20;2696,44;192,50;65,11;1670,99
4;12/10/2022;0:04:29;6184,79;13,50;915,17;3594,40;84,59;52,33;1538,30
5;12/10/2022;0:05:59;7073,71;13,21;885,40;4862,78;75,00;77,00;1173,53
6;12/10/2022;0:07:29;7859,27;12,88;1583,37;4857,33;145,55;60,00;1213,01
7;12/10/2022;0:08:59;7581,28;12,70;2542,23;3216,00;261,25;190,67;1371,13
8;12/10/2022;0:10:29;5651,19;13,01;2738,40;734,00;194,06;121,33;1863,39
9;12/10/2022;0:11:59;8210,78;12,72;4728,27;1990,88;185,50;62,80;1243,34
10;12/10/2022;0:13:29;9715,94;12,27;6010,81;2733,40;244,67;66,00;661,07
11;12/10/2022;0:14:59;5950,41;12,80;1044,00;1900,13;300,71;230,25;2475,33
12;12/10/2022;0:16:29;7314,69;12,88;942,63;4222,56;167,88;152,00;1829,62
13;12/10/2022;0:17:59;7777,21;12,91;922,15;4968,56;135,06;101,00;1650,44
14;12/10/2022;0:19:29;7936,64;12,92;930,00;5005,75;220,56;105,88;1674,46
15;12/10/2022;0:20:59;7873,58;12,95;936,08;5014,10;200,35;105,57;1617,47
16;12/10/2022;0:22:29;7814,79;12,95;919,00;5019,71;86,71;176,44;1612,91
17;12/10/2022;0:23:59;7880,73;12,98;934,18;5026,11;139,69;121,44;1659,30
18;12/10/2022;0:25:29;7931,62;12,91;1376,45;4994,67;130,86;62,29;1367,35
19;12/10/2022;0:26:59;9434,95;12,37;4012,94;4882,89;11,75;5,50;521,87
20;12/10/2022;0:28:29;12037,29;11,69;6236,63;4977,89;23,50;97,56;701,72
21;12/10/2022;0:29:59;13038,35;11,59;6269,17;5040,13;35,25;195,11;1498,70
22;12/10/2022;0:31:29;13085,24;11,61;6293,37;5030,13;47,00;110,67;1604,07
