indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;15/10/2022;0:00:00;8059,67;12,40;4446,32;1197,50;249,00;142,30;2024,55
2;15/10/2022;0:01:29;8373,12;12,47;4568,94;1838,00;154,31;230,44;1581,43
3;15/10/2022;0:02:59;9369,53;12,33;4636,00;3183,89;13,00;36,56;1500,09
4;15/10/2022;0:04:29;9317,00;12,32;3706,73;3640,67;156,33;102,00;1711,27
5;15/10/2022;0:05:59;8059,41;12,67;1895,60;3613,44;299,65;126,00;2124,72
6;15/10/2022;0:07:29;7027,12;12,97;1015,50;3611,88;189,06;131,17;2079,52
7;15/10/2022;0:08:59;6917,71;13,22;1003,29;3632,56;143,27;123,83;2014,76
8;15/10/2022;0:10:29;6345,31;13,42;699,50;3631,00;143,78;240,11;1630,92
9;15/10/2022;0:11:59;6047,80;13,68;496,25;3644,33;178,13;144,56;1584,53
10;15/10/2022;0:13:29;5686,69;13,87;992,50;2948,50;300,75;121,75;1323,19
11;15/10/2022;0:14:59;4509,56;14,32;1028,27;885,56;201,89;149,11;2244,73
12;15/10/2022;0:16:29;4760,87;14,84;1786,47;398,50;226,41;163,56;2185,94
13;15/10/2022;0:17:59;4671,50;15,07;2600,64;376,19;134,44;124,88;1435,36
14;15/10/2022;0:19:29;4998,41;14,95;2588,27;752,38;148,00;117,67;1392,10
15;15/10/2022;0:20:59;5468,50;14,94;2571,36;842,44;198,06;220,67;1635,97
16;15/10/2022;0:22:29;5213,58;15,02;2552,36;834,00;146,59;113,38;1567,26
17;15/10/2022;0:23:59;4596,38;15,03;2566,25;258,57;260,76;123,30;1387,49
18;15/10/2022;0:25:29;4990,77;15,02;3240,22;9,80;120,22;76,67;1543,85
19;15/10/2022;0:26:59;4801,94;14,97;2780,43;19,60;380,69;143,40;1477,82
20;15/10/2022;0:28:29;3037,00;15,23;1028,75;29,40;143,35;122,60;1712,90
21;15/10/2022;0:29:59;3798,73;15,09;2313,00;39,20;41,67;221,75;1183,12
22;15/10/2022;0:31:29;4437,50;14,87;3124,31;49,00;21,50;78,00;1164,69
23;15/10/2022;0:32:59;7168,56;14,29;6322,35;116,67;39,50;236,00;454,04
24;15/10/2022;0:34:29;7479,73;13,92;6359,61;233,33;79,00;472,00;335,79
25;15/10/2022;0:35:59;7336,00;13,47;6341,37;350,00;73,63;708,00;-136,99
26;15/10/2022;0:37:29;7285,57;13,04;6348,71;466,67;102,50;78,50;289,19
27;15/10/2022;0:38:59;7517,75;12,71;6350,18;583,33;205,00;157,00;222,24
28;15/10/2022;0:40:29;5660,29;12,86;3426,18;700,00;307,50;155,22;1071,40
29;15/10/2022;0:41:59;3657,56;13,37;1011,42;816,67;247,25;216,78;1365,45
30;15/10/2022;0:43:29;3438,83;13,82;1035,45;933,33;203,81;145,33;1120,90
31;15/10/2022;0:44:59;3275,09;14,17;1033,70;1050,00;179,67;136,57;875,15
32;15/10/2022;0:46:29;3287,07;14,45;1035,73;1166,67;183,25;137,00;764,42
33;15/10/2022;0:47:59;3534,56;14,85;1063,92;1283,33;211,31;150,00;826,00
34;15/10/2022;0:49:29;3065,75;15,07;1028,40;1400,00;143,53;179,25;314,57
35;15/10/2022;0:50:59;2759,40;15,08;1014,14;0,00;148,72;110,88;1485,66
36;15/10/2022;0:52:29;2989,18;15,16;1031,17;0,00;133,00;136,00;1689,02
37;15/10/2022;0:53:59;2862,87;15,25;1022,14;0,00;120,26;163,22;1557,24
38;15/10/2022;0:55:29;2656,55;15,22;1010,09;13,20;98,53;111,44;1423,28
39;15/10/2022;0:56:59;2801,33;15,24;1019,33;26,40;116,00;132,67;1506,93
40;15/10/2022;0:58:29;2490,24;15,17;990,46;39,60;59,20;130,22;1270,75
41;15/10/2022;0:59:59;3211,27;15,26;1050,50;52,80;152,64;163,22;1792,10
42;15/10/2022;1:01:29;2442,00;15,30;931,47;66,00;108,09;98,88;1237,56
43;15/10/2022;1:02:59;3453,53;15,23;1029,46;760,25;191,17;124,17;1348,48
44;15/10/2022;1:04:29;4360,17;15,40;1015,07;1527,33;132,50;110,25;1575,01
45;15/10/2022;1:05:59;4390,80;14,93;939,36;2533,11;107,38;72,89;738,06
46;15/10/2022;1:07:29;5637,84;14,99;1067,82;2315,22;214,77;145,78;1894,25
47;15/10/2022;1:08:59;4209,28;15,12;997,07;1699,44;83,17;150,44;1279,16
48;15/10/2022;1:10:29;4083,11;15,23;918,81;905,56;235,07;119,67;1904,01
49;15/10/2022;1:11:59;2482,59;15,47;0,00;814,44;134,58;107,89;1425,67
50;15/10/2022;1:13:29;2969,33;14,86;0,00;2186,89;84,19;45,00;653,26
51;15/10/2022;1:14:59;4339,44;14,91;0,00;2323,00;168,38;125,33;1722,74
52;15/10/2022;1:16:29;2808,94;15,12;0,00;849,67;125,83;123,89;1709,55
53;15/10/2022;1:17:59;3567,94;14,82;0,00;2328,33;27,33;94,56;1117,72
54;15/10/2022;1:19:29;4237,88;14,82;0,00;2121,89;173,92;154,33;1787,74
55;15/10/2022;1:20:59;4246,50;14,84;0,00;2367,13;123,13;78,00;1678,25
56;15/10/2022;1:22:29;6148,67;14,33;0,00;5023,50;141,09;18,00;966,08
57;15/10/2022;1:23:59;4772,13;14,41;0,00;3435,22;282,18;129,89;924,84
58;15/10/2022;1:25:29;3436,47;14,76;425,80;933,00;225,82;201,29;1650,56
