indice;Date;Time;FQI161;PIR161;FQI-65;FQI169;FQI177;FQI173;FQI151
1;10/16/2022;10/16/2022 5:00;13161,94;11,55;6310,93;5050,20;103,23;98,33;1599,25
2;10/16/2022;10/16/2022 5:01;13252,69;11,62;6336,33;5066,00;103,15;103,29;1643,92
3;10/16/2022;10/16/2022 5:03;13152,29;11,64;6316,55;5059,43;94,88;188,56;1492,88
4;10/16/2022;10/16/2022 5:04;11540,53;11,81;4438,06;5032,70;293,00;133,14;1643,63
5;10/16/2022;10/16/2022 5:06;12769,40;11,63;6271,93;4999,63;25,50;83,60;1388,75
6;10/16/2022;10/16/2022 5:07;13021,13;11,58;6286,92;5030,22;87,57;96,00;1520,42
7;10/16/2022;10/16/2022 5:09;10909,41;11,93;4528,88;3982,89;228,67;197,78;1971,20
8;10/16/2022;10/16/2022 5:10;8794,88;12,23;2808,15;3613,56;162,00;226,62;1984,54
9;10/16/2022;10/16/2022 5:12;8106,00;12,42;2327,21;3623,67;170,25;186,67;1798,20
10;10/16/2022;10/16/2022 5:13;5149,88;12,93;1322,36;1358,67;247,76;159,00;2062,09
11;10/16/2022;10/16/2022 5:15;4323,00;13,35;1029,67;855,87;207,69;142,80;2086,97
12;10/16/2022;10/16/2022 5:16;4749,27;13,67;1620,40;815,22;235,53;255,89;1822,22
13;10/16/2022;10/16/2022 5:18;5356,67;13,67;2813,62;776,63;89,60;143,00;1533,83
14;10/16/2022;10/16/2022 5:19;5512,07;13,70;2835,38;723,33;122,12;112,38;1718,86
15;10/16/2022;10/16/2022 5:21;4708,50;13,83;1842,86;836,00;163,59;112,75;1753,30
16;10/16/2022;10/16/2022 5:22;4392,94;14,19;1038,71;916,40;199,27;241,75;1996,81
17;10/16/2022;10/16/2022 5:24;3706,56;14,54;700,86;891,57;209,62;160,89;1743,62
18;10/16/2022;10/16/2022 5:25;3327,93;14,83;155,00;865,50;177,00;132,50;1997,93
19;10/16/2022;10/16/2022 5:27;4210,80;15,06;1052,38;877,13;178,56;127,22;1975,52
20;10/16/2022;10/16/2022 5:28;3541,28;15,08;1239,00;750,22;113,50;125,56;1313,00
21;10/16/2022;10/16/2022 5:30;5372,65;14,87;2579,77;796,44;172,80;164,11;1659,52
22;10/16/2022;10/16/2022 5:31;5582,73;15,08;2632,27;850,67;140,89;168,00;1790,91
23;10/16/2022;10/16/2022 5:33;5048,88;15,00;2604,73;1001,00;64,31;98,00;1280,85
24;10/16/2022;10/16/2022 5:34;5265,58;14,91;2567,33;870,22;94,83;135,44;1597,75
25;10/16/2022;10/16/2022 5:36;6853,44;14,42;2441,35;3458,56;0,00;99,44;854,09
26;10/16/2022;10/16/2022 5:37;7003,00;14,56;2420,35;2130,00;208,00;144,50;2100,15
27;10/16/2022;10/16/2022 5:39;4159,11;14,97;1045,61;856,22;193,24;122,11;1941,93
28;10/16/2022;10/16/2022 5:40;4489,06;15,30;1077,67;901,88;263,53;159,11;2086,88
29;10/16/2022;10/16/2022 5:42;4188,12;15,22;1863,60;754,89;153,40;148,00;1268,23
30;10/16/2022;10/16/2022 5:43;4504,00;14,83;2533,60;742,00;92,00;62,00;1074,40
31;10/16/2022;10/16/2022 5:45;4766,76;14,83;1367,31;1586,33;130,67;89,88;1592,58
32;10/16/2022;10/16/2022 5:46;5776,63;14,52;1968,31;2524,78;79,43;83,50;1120,61
33;10/16/2022;10/16/2022 5:48;5092,13;14,43;2566,75;796,00;94,21;133,56;1501,61
34;10/16/2022;10/16/2022 5:49;4755,88;14,48;1844,81;844,25;153,39;176,22;1737,20
35;10/16/2022;10/16/2022 5:51;3812,06;14,65;1626,50;222,20;159,00;96,71;1707,64
36;10/16/2022;10/16/2022 5:52;5037,94;14,56;2382,12;720,43;93,93;72,43;1769,03
37;10/16/2022;10/16/2022 5:54;7722,89;14,17;5761,77;662,11;0,00;47,67;1251,34
38;10/16/2022;10/16/2022 5:55;8048,21;13,61;6174,56;638,67;0,00;74,22;1160,77
39;10/16/2022;10/16/2022 5:57;8962,47;12,79;6287,06;2323,11;46,09;0,00;306,21
40;10/16/2022;10/16/2022 5:58;9791,63;12,29;6314,69;2447,22;92,18;45,00;892,54
41;10/16/2022;10/16/2022 6:00;10129,94;12,07;6326,37;2383,78;138,27;91,00;1190,52
42;10/16/2022;10/16/2022 6:01;7649,00;12,39;4537,76;791,88;184,36;162,22;1972,78
43;10/16/2022;10/16/2022 6:03;8814,00;12,22;6337,07;750,25;140,80;119,88;1466,00
44;10/16/2022;10/16/2022 6:04;8935,25;12,19;6355,27;771,22;138,06;91,38;1579,32
45;10/16/2022;10/16/2022 6:06;8970,69;12,19;6351,92;770,14;103,69;117,38;1627,57
46;10/16/2022;10/16/2022 6:07;10127,11;12,01;6315,47;2287,10;12,67;84,71;1427,16
47;10/16/2022;10/16/2022 6:09;9250,29;12,15;5433,00;1430,38;202,44;188,78;1995,70
48;10/16/2022;10/16/2022 6:10;7303,17;12,53;3477,40;1320,11;159,06;125,50;2221,10
49;10/16/2022;10/16/2022 6:12;7554,36;12,62;2801,15;2728,44;130,69;128,43;1765,64
50;10/16/2022;10/16/2022 6:13;6284,69;12,88;1628,13;2327,33;290,22;127,25;1911,76
51;10/16/2022;10/16/2022 6:15;4962,53;13,29;1051,40;1398,00;281,00;222,00;2010,13
52;10/16/2022;10/16/2022 6:16;4973,94;13,77;752,78;1634,78;209,59;140,50;2236,30
