Fecha;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173
9/28/2022;00:00:00;11.317,84;11,74;5.682,65;5.004,50;0,00;48,57
9/28/2022;00:01:29;11.695,65;11,65;6.321,75;4.628,89;87,19;99,78
9/28/2022;00:02:59;11.197,50;11,76;6.346,50;3.662,00;174,38;102,56
9/28/2022;00:04:29;11.063,07;11,81;6.147,53;3.657,38;92,64;108,14
9/28/2022;00:05:59;9.862,39;11,93;4.270,71;3.669,67;258,36;123,67
9/28/2022;00:07:29;8.734,71;12,16;2.796,94;3.608,78;238,27;211,67
9/28/2022;00:08:59;8.249,57;12,31;2.792,64;3.572,13;107,30;103,29
9/28/2022;00:10:29;9.508,29;12,15;4.400,00;3.531,40;71,00;73,00
9/28/2022;00:11:59;9.584,89;12,07;4.524,87;3.511,22;137,00;86,00
9/28/2022;00:13:29;8.692,71;12,18;3.248,00;3.619,44;171,46;160,71
9/28/2022;00:14:59;8.287,00;12,35;2.785,31;3.616,88;190,12;158,00
9/28/2022;00:16:29;8.145,36;12,41;2.783,71;3.626,22;160,57;156,67
9/28/2022;00:17:59;7.901,69;12,49;2.500,93;3.662,44;339,44;112,00
9/28/2022;00:19:29;6.429,76;12,76;733,27;3.673,89;181,39;128,44
9/28/2022;00:20:59;5.355,40;13,09;85,87;3.296,33;185,50;130,75
9/28/2022;00:22:29;3.805,33;13,74;171,73;910,71;360,00;198,22
9/28/2022;00:23:59;3.170,27;14,43;257,60;386,17;277,88;258,63
9/28/2022;00:25:29;3.169,06;15,05;343,46;803,67;286,69;210,33
9/28/2022;00:26:59;2.644,19;15,32;429,33;849,75;166,39;105,11
9/28/2022;00:28:29;2.634,22;15,43;515,19;855,29;136,07;117,78
9/28/2022;00:29:59;2.269,13;15,35;601,06;885,64;128,81;54,17
9/28/2022;00:31:29;4.168,00;15,14;686,92;2.529,20;84,44;112,33
9/28/2022;00:32:59;4.462,42;15,12;772,79;2.582,33;105,36;202,56
9/28/2022;00:34:29;4.525,47;15,06;858,65;2.667,33;166,00;124,33
9/28/2022;00:35:59;3.949,41;15,12;944,52;2.004,40;119,00;107,11
9/28/2022;00:37:29;2.771,76;15,11;1.030,38;1.234,14;141,36;55,57
9/28/2022;00:38:59;4.399,54;14,81;1.116,25;2.556,88;3,50;28,63
9/28/2022;00:40:29;6.250,29;14,40;2.440,00;2.594,90;0,00;57,25
9/28/2022;00:41:59;6.329,50;14,08;2.563,78;2.185,78;130,69;175,38
9/28/2022;00:43:29;8.217,31;13,62;2.460,53;4.813,13;26,75;10,50
9/28/2022;00:44:59;8.110,67;13,03;2.502,75;4.973,33;54,50;32,09
9/28/2022;00:46:29;9.828,06;12,34;4.776,54;4.920,22;109,00;64,19
9/28/2022;00:47:59;12.119,47;11,69;6.246,06;4.989,30;163,50;96,28
9/28/2022;00:49:29;12.725,69;11,52;6.264,83;5.007,00;218,00;128,38
9/28/2022;00:50:59;10.227,41;11,87;2.594,75;5.157,67;272,50;248,22
9/28/2022;00:52:29;7.988,59;12,30;990,69;4.723,56;216,18;127,38
9/28/2022;00:53:59;7.813,07;12,41;2.218,84;3.626,80;113,18;95,00
9/28/2022;00:55:29;7.858,67;12,44;2.466,33;3.633,63;98,15;103,63
9/28/2022;00:56:59;8.795,00;12,32;3.691,24;3.574,00;130,93;110,89
9/28/2022;00:58:29;10.641,41;11,94;6.254,71;3.520,89;70,94;124,43
9/28/2022;00:59:59;11.200,67;11,77;6.287,33;3.482,25;141,89;171,88
9/28/2022;01:01:29;11.390,17;11,72;6.302,27;3.569,11;97,44;91,71
9/28/2022;01:02:59;11.427,40;11,70;6.304,93;3.516,56;118,41;94,13
9/28/2022;01:04:29;11.539,00;11,69;6.310,79;3.564,22;204,24;92,75
9/28/2022;01:05:59;10.472,39;11,90;4.888,19;3.659,00;199,83;123,78
9/28/2022;01:07:29;9.307,56;12,13;3.311,47;3.673,22;214,82;206,67
9/28/2022;01:08:59;9.647,35;12,17;4.367,13;3.636,33;96,72;138,11
9/28/2022;01:10:29;9.861,13;12,23;4.545,15;3.638,00;98,83;100,67
9/28/2022;01:11:59;9.831,94;12,27;4.538,81;3.640,44;180,39;96,63
9/28/2022;01:13:29;6.993,18;12,72;2.390,91;2.386,73;252,65;161,38
9/28/2022;01:14:59;5.996,35;13,15;2.865,08;724,33;369,17;157,88
9/28/2022;01:16:29;4.925,21;13,66;2.253,59;3,50;258,53;243,11
9/28/2022;01:17:59;5.185,27;14,05;2.039,08;772,22;155,32;181,57
9/28/2022;01:19:29;5.917,50;14,19;2.107,40;1.506,75;218,88;114,75
9/28/2022;01:20:59;5.722,79;14,38;1.015,33;2.542,00;151,69;119,43
9/28/2022;01:22:29;5.310,29;14,32;971,17;2.668,89;93,13;50,89
9/28/2022;01:23:59;6.171,44;14,00;912,19;4.117,11;173,17;61,78
9/28/2022;01:25:29;6.860,17;13,47;886,36;4.889,44;31,25;118,11
9/28/2022;01:26:59;6.346,27;13,16;130,33;4.402,70;62,50;63,83
9/28/2022;01:28:29;4.449,53;13,34;468,67;2.018,56;208,00;132,67
9/28/2022;01:29:59;3.872,79;13,54;1.001,80;811,50;133,65;116,44
9/28/2022;01:31:29;5.136,71;13,45;1.317,64;2.350,44;151,23;78,88
9/28/2022;01:32:59;6.395,76;13,18;2.547,21;2.557,11;64,08;118,50
9/28/2022;01:34:29;6.299,87;13,03;2.581,77;1.883,78;128,15;148,50
9/28/2022;01:35:59;8.166,29;12,59;2.445,11;4.478,89;32,75;10,50
9/28/2022;01:37:29;8.884,60;12,30;2.532,79;4.988,56;77,04;53,50
9/28/2022;01:38:59;8.863,12;12,20;2.234,41;5.025,78;154,08;72,11
9/28/2022;01:40:29;11.445,95;11,78;5.499,53;4.968,10;95,00;19,20
9/28/2022;01:41:59;9.086,88;12,16;1.288,87;5.144,89;307,56;157,10
9/28/2022;01:43:29;8.467,13;12,29;1.094,00;5.058,13;200,40;111,00
9/28/2022;01:44:59;9.338,40;12,21;2.507,20;5.006,00;34,00;63,40
9/28/2022;01:46:29;9.403,37;12,16;2.471,24;4.997,50;143,18;83,22
9/28/2022;01:47:59;10.804,28;11,91;5.030,71;4.138,44;68,38;39,20
9/28/2022;01:49:29;11.400,50;11,75;6.304,79;3.612,22;69,41;83,00
9/28/2022;01:50:59;11.497,18;11,71;6.309,50;3.478,11;147,25;133,43
9/28/2022;01:52:29;11.586,92;11,71;6.313,15;3.552,75;82,07;176,22
9/28/2022;01:53:59;10.806,06;11,89;4.888,44;3.576,50;222,84;122,11
9/28/2022;01:55:29;11.496,38;11,86;5.744,80;3.534,25;87,88;70,13
9/28/2022;01:56:59;9.938,78;12,14;3.391,88;3.662,90;213,33;129,88
9/28/2022;01:58:29;10.295,06;12,13;4.376,78;3.635,88;127,65;94,33
9/28/2022;01:59:59;10.428,43;12,11;4.607,33;3.622,44;71,20;95,25
9/28/2022;02:01:29;10.027,25;12,17;4.089,79;3.760,67;193,11;156,33
9/28/2022;02:02:59;6.934,32;12,71;2.842,56;972,89;241,94;240,44
9/28/2022;02:04:29;6.344,20;13,05;2.713,33;814,63;282,94;155,13
9/28/2022;02:05:59;6.036,00;13,39;2.230,71;829,50;267,76;133,25
9/28/2022;02:07:29;5.901,47;13,49;2.826,88;784,00;113,25;97,22
9/28/2022;02:08:59;4.396,50;13,51;1.515,82;796,67;229,60;129,25
9/28/2022;02:10:29;3.648,07;13,70;1.007,79;197,40;153,00;189,22
9/28/2022;02:11:59;3.797,88;13,87;1.004,60;635,25;108,13;126,00
9/28/2022;02:13:29;4.220,93;13,90;997,46;793,13;187,17;109,63
9/28/2022;02:14:59;4.814,06;13,84;939,57;2.131,44;61,56;57,75
9/28/2022;02:16:29;4.934,13;13,80;268,67;2.507,63;195,62;186,38
9/28/2022;02:17:59;5.652,06;13,59;818,90;3.056,50;131,91;90,89
9/28/2022;02:19:29;5.151,07;13,44;959,62;1.964,78;135,90;120,43
9/28/2022;02:20:59;4.467,40;13,56;969,58;883,12;175,47;109,86
9/28/2022;02:22:29;5.809,24;13,38;1.252,76;2.456,90;59,33;200,00
9/28/2022;02:23:59;6.854,28;13,08;2.544,07;2.561,13;118,67;113,44
9/28/2022;02:25:29;6.365,94;13,04;1.738,38;2.346,44;87,22;63,44
9/28/2022;02:26:59;7.515,12;12,75;1.006,60;4.878,89;103,88;18,33
9/28/2022;02:28:29;8.971,31;12,37;2.519,14;4.979,33;26,83;110,40
9/28/2022;02:29:59;9.140,40;12,19;2.493,80;5.019,89;66,46;92,11
9/28/2022;02:31:29;8.565,00;12,27;1.289,08;5.090,00;184,17;221,44
9/28/2022;02:32:59;8.820,73;12,30;1.618,79;5.047,25;86,70;199,75
9/28/2022;02:34:29;9.333,73;12,17;2.527,31;5.000,67;147,31;92,33
9/28/2022;02:35:59;8.474,67;12,30;2.453,13;4.012,11;131,67;112,44
9/28/2022;02:37:29;10.468,17;12,03;5.449,19;3.547,67;70,33;48,00
9/28/2022;02:38:59;9.435,00;12,13;3.811,88;3.710,89;222,21;146,25
9/28/2022;02:40:29;7.392,80;12,57;986,27;3.762,10;199,89;181,90
9/28/2022;02:41:59;8.046,47;12,72;1.997,93;3.528,88;170,00;222,57
9/28/2022;02:43:29;8.111,00;12,76;2.503,56;3.584,00;102,00;129,22
9/28/2022;02:44:59;9.182,50;12,51;3.993,65;3.446,33;111,92;72,00
9/28/2022;02:46:29;11.190,45;11,92;6.281,72;3.507,00;86,36;61,00
9/28/2022;02:47:59;11.637,67;11,83;5.938,93;3.549,78;172,71;84,13
9/28/2022;02:49:29;11.732,46;11,79;5.835,62;3.605,13;80,50;120,13
9/28/2022;02:50:59;11.877,62;11,77;6.320,00;3.632,50;113,94;199,11
9/28/2022;02:52:29;11.181,06;11,95;6.384,82;2.546,89;211,36;155,44
9/28/2022;02:53:59;9.234,61;12,21;4.462,56;2.630,56;231,09;110,33
