indice;Date              ;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;24/10/2022;15:20:00;5227,5;14,74;2586;786;66;129;1660,5
2;24/10/2023;15:20:01;5352;14,75;2592,75;788;96;131;1744,25
3;24/10/2024;15:20:02;5359,25;14,74;2595,5;789,63;98,25;133;1742,88
4;24/10/2025;15:20:03;5366,5;14,72;2598,25;791,25;100,5;135;1741,5
5;24/10/2026;15:20:05;5373,75;14,71;2601;792,88;102,75;137;1740,13
6;24/10/2027;15:20:06;5381;14,74;2600,5;794,5;105;141,75;1739,25
7;24/10/2028;15:20:07;5387;14,73;2600;796,13;104,29;146,5;1740,09
8;24/10/2029;15:20:08;5393;14,72;2599,5;797,75;103,57;151,25;1740,93
9;24/10/2030;15:20:10;5399;14,71;2599;799,38;102,86;156;1741,77
10;24/10/2031;15:20:11;5405;14,74;2598,5;801;102,14;160,75;1742,61
11;24/10/2032;15:20:12;5415;14,74;2598;799,89;101,43;165,5;1750,18
12;24/10/2033;15:20:13;5425;14,73;2597,5;798,78;100,71;170,25;1757,76
13;24/10/2034;15:20:15;5435;14,73;2597;797,67;100;175;1765,33
14;24/10/2035;15:20:16;5445;14,73;2593;796,56;98,67;182,5;1774,28
15;24/10/2036;15:20:17;5455;14,72;2589;795,44;97,33;190;1783,22
16;24/10/2037;15:20:18;5453,75;14,74;2587,25;794,33;96;197,5;1778,67
17;24/10/2038;15:20:20;5452,5;14,75;2585,5;793,22;94,67;205;1774,11
18;24/10/2039;15:20:21;5451,25;14,73;2583,75;792,11;93,33;212,5;1769,56
19;24/10/2040;15:20:22;5450;14,7;2582;791;92;220;1765
20;24/10/2041;15:20:23;5456,25;14,71;2582,3;786,75;87;227,5;1772,7
21;24/10/2042;15:20:25;5462,5;14,71;2582,6;782,5;82;235;1780,4
22;24/10/2043;15:20:26;5468,75;14,68;2582,9;778,25;76,83;242;1788,77
23;24/10/2044;15:20:27;5475;14,66;2583,2;774;71,67;249;1797,13
24;24/10/2045;15:20:28;5480;14,67;2583,5;772,62;66,5;256;1801,38
25;24/10/2046;15:20:30;5485;14,67;2583,8;771,23;61,33;263;1805,64
26;24/10/2047;15:20:31;5490;14,67;2584,1;769,85;56,17;270;1809,89
27;24/10/2048;15:20:32;5495;14,66;2584,4;768,46;51;277;1814,14
28;24/10/2049;15:20:33;5500;14,67;2584,7;767,08;42,83;286,22;1819,17
29;24/10/2050;15:20:35;5505;14,67;2585;765,69;34,67;295,44;1824,2
30;24/10/2051;15:20:36;5510;14,68;2584,56;764,31;26,5;304,67;1829,97
31;24/10/2052;15:20:37;5515;14,68;2584,11;762,92;18,33;313,89;1835,74
32;24/10/2053;15:20:38;5505;14,67;2583,67;761,54;10,17;323,11;1826,52
33;24/10/2054;15:20:40;5495;14,66;2583,22;760,15;2;332,33;1817,29
34;24/10/2055;15:20:41;5485;14,65;2582,78;758,77;1,33;341,56;1800,56
35;24/10/2056;15:20:42;5475;14,65;2582,33;757,38;0,67;350,78;1783,84
36;24/10/2057;15:20:43;5465;14,64;2581,89;756;0;360;1767,11
37;24/10/2058;15:20:45;5460,75;14,64;2581,44;752,75;0,29;364,63;1761,64
38;24/10/2059;15:20:46;5456,5;14,65;2581;749,5;0,57;369,25;1756,18
39;24/10/2060;15:20:47;5452,25;14,65;2580,33;746,25;0,86;373,88;1750,93
40;24/10/2061;15:20:48;5448;14,65;2579,67;743;1,14;378,5;1745,69
41;24/10/2062;15:20:50;5443,75;14,65;2579;743,1;1,43;383,13;1737,1
42;24/10/2063;15:20:51;5439,5;14,64;2578,33;743,2;1,71;387,75;1728,5
43;24/10/2064;15:20:52;5435,25;14,64;2577,67;743,3;2;392,38;1719,91
44;24/10/2065;15:20:53;5431;14,63;2577;743,4;2,29;397;1711,31
