indice;Date ;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;24/10/2022;1860,000;7639,00;14,23;6313,50;0,00;0,00;53,50;1272,00
2;24/10/2022;1860,063;7641,98;14,21;6323,39;0,00;0,21;85,19;1233,19
3;24/10/2022;1860,125;7644,96;14,21;6323,77;0,00;0,43;85,38;1235,38
4;24/10/2022;1860,188;7647,94;14,21;6324,16;0,00;0,64;85,56;1237,58
5;24/10/2022;1860,250;7650,92;14,21;6324,54;0,00;0,86;85,75;1239,77
6;24/10/2022;1860,313;7653,90;14,21;6324,93;0,00;1,07;85,94;1241,96
7;24/10/2022;1860,375;7656,88;14,21;6325,31;0,00;1,29;86,13;1244,15
8;24/10/2022;1860,438;7659,85;14,21;6325,70;0,00;1,50;86,31;1246,34
9;24/10/2022;1860,500;7662,83;14,21;6326,08;0,00;1,71;86,50;1248,54
10;24/10/2022;1860,563;7665,81;14,21;6326,47;0,00;1,93;86,69;1250,73
11;24/10/2022;1860,625;7668,79;14,21;6326,85;0,00;2,14;86,88;1252,92
12;24/10/2022;1860,688;7671,77;14,21;6327,24;0,00;2,36;87,06;1255,11
13;24/10/2022;1860,750;7674,75;14,21;6327,63;0,00;2,57;87,25;1257,30
14;24/10/2022;1860,813;7677,73;14,21;6328,01;0,00;2,79;87,44;1259,50
15;24/10/2022;1860,875;7680,71;14,21;6328,40;0,00;3,00;87,63;1261,69
16;24/10/2022;1860,938;7683,69;14,21;6328,78;0,00;3,21;87,81;1263,88
17;24/10/2022;1861,000;7686,67;14,21;6329,17;0,00;3,43;88,00;1266,07
18;24/10/2022;1861,063;7689,65;14,21;6329,55;0,00;3,64;88,19;1268,26
19;24/10/2022;1861,125;7692,63;14,21;6329,94;0,00;3,86;88,38;1270,46
20;24/10/2022;1861,188;7695,60;14,21;6330,32;0,00;4,07;88,56;1272,65
21;24/10/2022;1861,250;7698,58;14,21;6330,71;0,00;4,29;88,75;1274,84
22;24/10/2022;1861,313;7701,56;14,21;6331,09;0,00;4,50;88,94;1277,03
23;24/10/2022;1861,375;7704,54;14,21;6331,48;0,00;4,71;89,13;1279,22
24;24/10/2022;1861,438;7707,52;14,21;6331,86;0,00;4,93;89,31;1281,42
25;24/10/2022;1861,500;7710,50;14,21;6332,25;0,00;5,14;89,50;1283,61
26;24/10/2022;1861,563;7713,48;14,20;6332,64;0,00;5,36;89,69;1285,80
27;24/10/2022;1861,625;7716,46;14,20;6333,02;0,00;5,57;89,88;1287,99
28;24/10/2022;1861,688;7719,44;14,20;6333,41;0,00;5,79;90,06;1290,18
29;24/10/2022;1861,750;7722,42;14,20;6333,79;0,00;6,00;90,25;1292,38
30;24/10/2022;1861,813;7725,40;14,20;6334,18;0,00;6,21;90,44;1294,57
31;24/10/2022;1861,875;7728,38;14,20;6334,56;0,00;6,43;90,63;1296,76
32;24/10/2022;1861,938;7731,35;14,20;6334,95;0,00;6,64;90,81;1298,95
33;24/10/2022;1862,000;7734,33;14,20;6335,33;0,00;6,86;91,00;1301,14
34;24/10/2022;1862,063;7737,31;14,20;6335,72;0,00;7,07;91,19;1303,33
35;24/10/2022;1862,125;7740,29;14,20;6336,10;0,00;7,29;91,38;1305,53
36;24/10/2022;1862,188;7743,27;14,20;6336,49;0,00;7,50;91,56;1307,72
37;24/10/2022;1862,250;7746,25;14,20;6336,88;0,00;7,71;91,75;1309,91
38;24/10/2022;1862,313;7749,23;14,20;6337,26;0,00;7,93;91,94;1312,10
39;24/10/2022;1862,375;7752,21;14,20;6337,65;0,00;8,14;92,13;1314,29
40;24/10/2022;1862,438;7755,19;14,20;6338,03;0,00;8,36;92,31;1316,49
41;24/10/2022;1862,500;7758,17;14,20;6338,42;0,00;8,57;92,50;1318,68
42;24/10/2022;1862,563;7761,15;14,20;6338,80;0,00;8,79;92,69;1320,87
43;24/10/2022;1862,625;7764,13;14,20;6339,19;0,00;9,00;92,88;1323,06
44;24/10/2022;1862,688;7767,10;14,20;6339,57;0,00;9,21;93,06;1325,25
45;24/10/2022;1862,750;7770,08;14,20;6339,96;0,00;9,43;93,25;1327,45
46;24/10/2022;1862,813;7773,06;14,20;6340,34;0,00;9,64;93,44;1329,64
47;24/10/2022;1862,875;7776,04;14,20;6340,73;0,00;9,86;93,63;1331,83
48;24/10/2022;1862,938;7779,02;14,20;6341,11;0,00;10,07;93,81;1334,02
49;24/10/2022;1863,000;7782,00;14,20;6341,50;0,00;10,29;94,00;1336,21
50;24/10/2022;1863,063;7785,29;14,20;6341,89;0,00;10,50;94,19;1338,72
51;24/10/2022;1863,125;7788,58;14,20;6342,27;0,00;10,71;94,38;1341,22
52;24/10/2022;1863,188;7791,88;14,20;6342,66;0,00;10,93;94,56;1343,73
53;24/10/2022;1863,250;7795,17;14,20;6343,04;0,00;11,14;94,75;1346,23
54;24/10/2022;1863,313;7798,46;14,20;6343,43;0,00;11,36;94,94;1348,74
55;24/10/2022;1863,375;7801,75;14,20;6343,81;0,00;11,57;95,13;1351,24
56;24/10/2022;1863,438;7805,04;14,20;6344,20;0,00;11,79;95,31;1353,75
57;24/10/2022;1863,500;7808,33;14,20;6344,58;0,00;12,00;95,50;1356,25
58;24/10/2022;1863,563;7811,63;14,20;6344,97;0,00;12,21;95,69;1358,75
59;24/10/2022;1863,625;7814,92;14,20;6345,35;0,00;12,43;95,88;1361,26
60;24/10/2022;1863,688;7818,21;14,20;6345,74;0,00;12,64;96,06;1363,76
61;24/10/2022;1863,750;7821,50;14,20;6346,13;0,00;12,86;96,25;1366,27
62;24/10/2022;1863,813;7824,79;14,20;6346,51;0,00;13,07;96,44;1368,77
63;24/10/2022;1863,875;7828,08;14,20;6346,90;0,00;13,29;96,63;1371,28
64;24/10/2022;1863,938;7831,38;14,20;6347,28;0,00;13,50;96,81;1373,78
65;24/10/2022;1864,000;7834,67;14,20;6347,67;0,00;13,71;97,00;1376,29
66;24/10/2022;1864,063;7837,96;14,20;6348,05;0,00;13,93;97,19;1378,79
67;24/10/2022;1864,125;7841,25;14,20;6348,44;0,00;14,14;97,38;1381,29
68;24/10/2022;1864,188;7844,54;14,20;6348,82;0,00;14,36;97,56;1383,80
69;24/10/2022;1864,250;7847,83;14,20;6349,21;0,00;14,57;97,75;1386,30
70;24/10/2022;1864,313;7851,13;14,20;6349,59;0,00;14,79;97,94;1388,81
71;24/10/2022;1864,375;7854,42;14,20;6349,98;0,00;15,00;98,13;1391,31
72;24/10/2022;1864,438;7857,71;14,20;6350,36;0,00;15,21;98,31;1393,82
73;24/10/2022;1864,500;7861,00;14,20;6350,75;0,00;15,43;98,50;1396,32
74;24/10/2022;1864,563;7864,29;14,19;6351,14;0,00;15,64;98,69;1398,83
