FECHA,HORA,TEMP,HUM,PNM
12022023,5,28,52,1005.2
12022023,6,26.7,59,1005.8
12022023,7,26.6,61,1006.8
12022023,8,27.2,61,1007.2
12022023,9,28.7,57,1007.4
12022023,10,30.6,54,1007.4
12022023,11,32.3,49,1006.9
12022023,12,32.1,53,1006.8
12022023,13,35.6,43,1006.2
12022023,14,36.9,35,1005.1
12022023,15,38.1,32,1004.1
12022023,16,38.5,28,1003.2
12022023,17,38,28,1002.5
12022023,18,36.9,28,1001.7
12022023,19,35.4,31,1001.2
12022023,20,33.6,35,1000.9
12022023,21,32.5,38,1000.7
12022023,22,30.8,41,1001.1
12022023,23,30.2,40,1000.7
13022023,0,29.6,41,1000.7
13022023,1,28.3,45,1000.7
13022023,2,27.4,49,1000.7
13022023,3,27.6,51,1000.3
13022023,4,28,50,1000.3
13022023,5,27.5,51,1001
13022023,6,27.6,52,1002.3
13022023,7,27.5,52,1003.4
13022023,8,24.2,78,1005.4
13022023,9,24.2,78,1005.9
13022023,10,23.9,86,1005.9
13022023,11,23.8,91,1007.3
13022023,12,23.5,92,1006.8
13022023,13,22.6,91,1006.6
13022023,14,24,88,1006.9
13022023,15,25,75,1005.3
13022023,16,27.2,71,1004.3
13022023,17,27.7,70,1003.8
13022023,18,28.3,67,1003
13022023,19,28,70,1002.7
13022023,20,26.1,80,1003
13022023,21,24.8,85,1003.7
13022023,22,23.4,88,1003.9
13022023,23,23.2,90,1004.9
