time;TIR-249;TIR-250;TT-905
2/12/2023 5:00;34,6;34,9;39,6
2/12/2023 5:01;34,7;35,1;39,6
2/12/2023 5:03;34,9;35,0;39,5
2/12/2023 5:04;35,0;35,0;39,6
2/12/2023 5:06;35,0;35,0;39,5
2/12/2023 5:07;35,2;34,7;39,1
2/12/2023 5:09;35,2;33,9;38,5
2/12/2023 5:10;35,3;33,2;37,9
2/12/2023 5:12;35,3;33,0;37,6
2/12/2023 5:13;35,1;32,8;37,4
2/12/2023 5:15;35,1;32,8;37,3
2/12/2023 5:16;35,1;32,8;37,3
2/12/2023 5:18;34,9;32,6;37,2
2/12/2023 5:19;34,9;32,6;37,3
2/12/2023 5:21;34,7;32,8;37,5
2/12/2023 5:22;34,6;33,2;37,8
2/12/2023 5:24;34,6;33,4;38,0
2/12/2023 5:25;34,6;33,5;38,0
2/12/2023 5:27;34,5;33,4;37,9
2/12/2023 5:28;34,6;33,3;37,8
2/12/2023 5:30;34,6;33,0;37,5
2/12/2023 5:31;34,6;32,8;37,2
2/12/2023 5:33;34,6;32,6;37,2
2/12/2023 5:34;34,6;32,8;37,4
2/12/2023 5:36;34,5;33,0;37,6
2/12/2023 5:37;34,4;33,2;37,7
2/12/2023 5:39;34,4;33,1;37,6
2/12/2023 5:40;34,4;32,9;37,5
2/12/2023 5:42;34,3;32,8;37,2
2/12/2023 5:43;34,5;32,4;37,0
2/12/2023 5:45;34,4;32,4;37,0
2/12/2023 5:46;34,4;32,5;37,1
2/12/2023 5:48;34,2;32,9;37,7
2/12/2023 5:49;34,2;33,8;38,5
2/12/2023 5:51;34,3;34,7;39,2
2/12/2023 5:52;34,4;34,7;39,1
2/12/2023 5:54;34,4;34,2;38,5
2/12/2023 5:55;34,6;33,8;38,4
2/12/2023 5:57;34,7;34,1;38,7
2/12/2023 5:58;34,6;34,3;38,9
2/12/2023 6:00;34,7;34,4;38,8
2/12/2023 6:01;34,8;34,3;38,9
2/12/2023 6:03;34,8;34,7;39,1
2/12/2023 6:04;35,0;34,7;39,1
2/12/2023 6:06;34,9;34,5;39,0
2/12/2023 6:07;34,9;34,5;39,1
2/12/2023 6:09;34,9;34,6;39,0
2/12/2023 6:10;35,0;34,5;38,9
2/12/2023 6:12;35,2;34,4;38,9
2/12/2023 6:13;35,3;34,2;38,7
2/12/2023 6:15;35,1;33,8;38,5
2/12/2023 6:16;35,2;34,0;38,5
2/12/2023 6:18;35,1;34,0;38,5
2/12/2023 6:19;35,2;33,9;38,4
2/12/2023 6:21;35,2;33,8;38,5
2/12/2023 6:22;35,1;34,0;38,5
2/12/2023 6:24;35,0;34,0;38,4
2/12/2023 6:25;35,1;33,7;38,2
2/12/2023 6:27;35,1;33,6;38,1
2/12/2023 6:28;35,2;33,5;38,0
2/12/2023 6:30;35,0;33,4;37,9
2/12/2023 6:31;35,1;33,4;37,9
2/12/2023 6:33;34,9;33,5;38,1
2/12/2023 6:34;34,9;34,1;38,8
2/12/2023 6:36;35,0;35,0;39,6
2/12/2023 6:37;35,0;35,4;39,8
2/12/2023 6:39;35,1;35,5;39,9
2/12/2023 6:40;35,1;35,5;40,1
2/12/2023 6:42;35,3;35,7;40,3
2/12/2023 6:43;35,3;35,9;40,4
2/12/2023 6:45;35,4;35,8;40,3
2/12/2023 6:46;35,6;35,8;40,4
2/12/2023 6:48;35,6;35,9;40,5
2/12/2023 6:49;35,8;35,9;40,5
2/12/2023 6:51;35,8;36,1;40,8
2/12/2023 6:52;35,8;36,4;40,9
2/12/2023 6:54;36,0;36,0;40,7
2/12/2023 6:55;36,0;36,0;40,6
2/12/2023 6:57;36,1;35,7;40,3
2/12/2023 6:58;36,1;35,4;40,1
2/12/2023 7:00;36,1;35,4;40,0
2/12/2023 7:01;36,1;35,4;40,0
2/12/2023 7:03;36,1;35,1;39,6
2/12/2023 7:04;36,1;34,4;39,1
2/12/2023 7:06;36,2;34,2;38,8
2/12/2023 7:07;36,0;33,8;38,5
2/12/2023 7:09;36,0;34,1;38,3
2/12/2023 7:10;36,0;33,7;38,4
