indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;11/4/2022;21:10:53;3263,00;15,11;1022,00;0,00;174,50;162,00;1904,50
2;11/4/2022;21:10:57;3219,00;15,15;1021,00;0,00;155,00;159,00;1884,00
3;11/4/2022;21:11:01;3093,00;15,14;1022,00;0,00;149,00;155,00;1767,00
4;11/4/2022;21:11:05;3017,00;15,15;1010,00;0,00;136,00;152,53;1718,47
5;11/4/2022;21:11:09;3011,63;15,16;1004,00;0,00;134,25;150,07;1723,31
6;11/4/2022;21:11:13;3006,25;15,16;998,00;0,00;132,50;147,60;1728,15
7;11/4/2022;21:11:17;3000,88;15,17;998,00;0,00;130,75;145,13;1726,99
8;11/4/2022;21:11:21;2995,50;15,16;998,00;0,00;129,00;142,67;1725,83
9;11/4/2022;21:11:25;2950,00;15,18;1009,00;1,54;121,00;133,33;1685,13
10;11/4/2022;21:11:29;2899,00;15,12;1006,33;3,07;118,00;132,67;1638,93
11;11/4/2022;21:11:33;2848,00;15,15;1003,67;4,61;115,00;132,00;1592,73
12;11/4/2022;21:11:37;2823,00;15,16;1001,00;6,14;109,00;130,67;1576,19
13;11/4/2022;21:11:41;2809,50;15,17;997,00;7,68;105,00;129,33;1570,49
14;11/4/2022;21:11:45;2796,00;15,18;993,00;9,21;104,25;128,00;1561,54
15;11/4/2022;21:11:49;2771,00;15,17;996,00;10,75;103,50;125,00;1535,75
16;11/4/2022;21:11:53;2746,00;15,17;993,00;12,28;103,50;122,00;1515,22
17;11/4/2022;21:11:57;2721,00;15,19;991,00;13,82;104,00;118,67;1493,52
18;11/4/2022;21:12:01;2734,00;15,16;987,00;15,35;107,00;115,33;1509,31
19;11/4/2022;21:12:05;2747,00;15,18;985,67;16,89;115,00;112,00;1517,44
20;11/4/2022;21:12:09;2746,50;15,15;984,33;18,42;151,00;111,50;1481,24
21;11/4/2022;21:12:13;2746,00;15,17;983,00;19,96;161,50;111,00;1470,54
22;11/4/2022;21:12:17;2759,00;15,16;984,00;21,49;172,00;111,25;1470,26
23;11/4/2022;21:12:21;2772,00;15,17;986,00;23,03;183,00;111,50;1468,47
24;11/4/2022;21:12:25;2784,50;15,17;988,00;24,57;185,00;111,75;1475,18
25;11/4/2022;21:12:29;2797,00;15,17;994,00;26,10;187,00;112,00;1477,90
26;11/4/2022;21:12:33;2848,00;15,18;997,33;27,64;188,00;114,00;1521,03
27;11/4/2022;21:12:37;2822,00;15,21;998,67;29,17;184,00;116,00;1494,16
28;11/4/2022;21:12:41;2829,00;15,17;1000,00;30,71;156,00;118,00;1524,29
29;11/4/2022;21:12:45;2836,00;15,20;1002,00;32,24;134,00;120,00;1547,76
30;11/4/2022;21:12:49;2861,50;15,20;1004,00;33,78;131,50;123,40;1568,82
31;11/4/2022;21:12:53;2874,00;15,19;1006,00;35,31;129,00;126,80;1576,89
32;11/4/2022;21:12:57;2930,00;15,19;1008,00;36,85;126,50;130,20;1628,45
33;11/4/2022;21:13:01;2955,00;15,23;1008,33;38,38;124,00;133,60;1650,68
34;11/4/2022;21:13:05;2983,50;15,22;1008,67;39,92;126,25;137,00;1671,66
35;11/4/2022;21:13:09;3012,00;15,22;1009,00;41,45;128,50;139,67;1693,38
36;11/4/2022;21:13:13;3024,50;15,25;1013,00;42,99;131,50;142,33;1694,68
37;11/4/2022;21:13:17;3037,00;15,26;1017,00;44,53;133,00;145,00;1697,47
38;11/4/2022;21:13:21;3012,00;15,24;1021,00;46,06;132,33;146,00;1666,61
39;11/4/2022;21:13:25;3015,50;15,27;1019,00;47,60;131,67;147,00;1670,24
40;11/4/2022;21:13:29;3019,00;15,26;1017,00;49,13;131,00;145,50;1676,37
41;11/4/2022;21:13:33;2993,00;15,25;1015,00;50,67;126,00;144,00;1657,33
42;11/4/2022;21:13:37;2942,00;15,30;1013,00;52,20;125,00;142,33;1609,46
43;11/4/2022;21:13:41;2945,00;15,28;1011,00;53,74;124,00;140,67;1615,60
44;11/4/2022;21:13:45;2951,50;15,27;1009,67;55,27;123,00;139,00;1624,56
45;11/4/2022;21:13:49;2958,00;15,30;1008,33;56,81;122,00;137,00;1633,86
46;11/4/2022;21:13:53;2924,67;15,28;1007,00;58,34;121,50;135,00;1602,82
47;11/4/2022;21:13:57;2904,33;15,29;1010,00;59,88;121,00;133,00;1580,45
48;11/4/2022;21:14:01;2884,00;15,28;1006,00;61,41;117,00;123,50;1576,09
49;11/4/2022;21:14:06;2863,67;15,29;1004,67;62,95;115,50;114,00;1566,55
50;11/4/2022;21:14:10;2856,33;15,34;1003,33;64,48;114,00;110,00;1564,52
51;11/4/2022;21:14:14;2849,00;15,31;1002,00;66,02;111,00;106,00;1563,98
52;11/4/2022;21:14:18;2836,50;15,30;998,00;67,56;109,00;110,33;1551,61
53;11/4/2022;21:14:22;2824,00;15,30;1000,00;69,09;108,00;114,67;1532,24
54;11/4/2022;21:14:26;2853,00;15,30;997,00;70,63;107,00;119,00;1559,37
55;11/4/2022;21:14:30;2750,00;15,32;994,00;72,16;93,00;116,00;1474,84
56;11/4/2022;21:14:34;2647,00;15,28;991,00;73,70;79,00;113,00;1390,30
57;11/4/2022;21:14:38;2544,00;15,29;988,00;75,23;65,00;110,00;1305,77
58;11/4/2022;21:14:42;2458,00;15,24;972,00;76,77;22,00;103,00;1284,23
59;11/4/2022;21:14:46;2356,00;15,25;969,00;78,30;0,00;102,17;1206,53
60;11/4/2022;21:14:50;2310,25;15,20;965,00;79,84;0,60;101,33;1163,48
61;11/4/2022;21:14:54;2264,50;15,23;961,00;81,37;1,20;100,50;1120,43
62;11/4/2022;21:14:58;2198,50;15,22;958,80;82,91;1,79;99,67;1055,33
63;11/4/2022;21:15:02;2173,00;15,20;956,60;84,44;2,39;98,83;1030,73
64;11/4/2022;21:15:06;2122,00;15,15;954,40;85,98;2,99;98,00;980,63
65;11/4/2022;21:15:10;2117,00;15,17;952,20;87,52;3,59;98,57;975,12
66;11/4/2022;21:15:14;2112,00;15,16;950,00;89,05;4,19;99,14;969,62
67;11/4/2022;21:15:18;2137,00;15,14;949,83;90,59;4,79;99,71;992,08
68;11/4/2022;21:15:22;2135,00;15,16;949,67;92,12;5,38;100,29;987,54
69;11/4/2022;21:15:26;2133,00;15,11;949,50;93,66;5,98;100,86;983,00
70;11/4/2022;21:15:30;2158,00;15,06;949,33;95,19;6,58;101,43;1005,47
71;11/4/2022;21:15:34;2183,00;15,09;949,17;96,73;7,18;102,00;1027,93
72;11/4/2022;21:15:38;2209,00;15,07;949,00;98,26;7,78;103,50;1050,46
73;11/4/2022;21:15:42;2254,00;15,08;957,00;99,80;8,38;105,00;1083,83
74;11/4/2022;21:15:46;2273,00;15,07;959,00;101,33;8,97;106,50;1097,19
75;11/4/2022;21:15:50;2292,00;15,04;961,00;102,87;9,57;108,00;1110,56
76;11/4/2022;21:15:54;2354,50;15,07;965,00;104,40;10,17;114,00;1160,93
77;11/4/2022;21:15:58;2404,00;15,05;969,00;105,94;10,77;116,67;1201,63
78;11/4/2022;21:16:02;2455,00;15,07;973,00;107,47;11,37;119,33;1243,83
79;11/4/2022;21:16:06;2467,50;15,05;977,00;109,01;11,96;122,00;1247,53
80;11/4/2022;21:16:10;2480,00;15,07;979,00;110,55;12,56;129,00;1248,89
81;11/4/2022;21:16:14;2553,00;15,06;981,00;112,08;13,16;136,00;1310,76
82;11/4/2022;21:16:18;2540,50;15,08;983,00;113,62;13,76;137,33;1292,79
83;11/4/2022;21:16:22;2528,00;15,03;985,00;115,15;14,36;138,67;1274,82
84;11/4/2022;21:16:26;2553,00;15,07;983,00;116,69;14,96;140,00;1298,36
