indice,Date,Time,QLF5,PLF5
1,9/14/2023,14 09 2023 00:00:00,0.00,15.40
2,9/14/2023,14 09 2023 00:01:00,0.00,15.40
3,9/14/2023,14 09 2023 00:02:00,0.00,15.40
4,9/14/2023,14 09 2023 00:03:00,0.00,15.40
5,9/14/2023,14 09 2023 00:04:00,0.00,15.40
6,9/14/2023,14 09 2023 00:05:00,0.00,15.40
7,9/14/2023,14 09 2023 00:06:00,0.00,15.30
8,9/14/2023,14 09 2023 00:07:00,0.00,15.10
9,9/14/2023,14 09 2023 00:08:00,0.00,15.10
10,9/14/2023,14 09 2023 00:09:00,0.00,15.10
11,9/14/2023,14 09 2023 00:10:00,0.00,15.10
12,9/14/2023,14 09 2023 00:11:00,0.00,15.10
13,9/14/2023,14 09 2023 00:12:00,0.00,15.10
14,9/14/2023,14 09 2023 00:13:00,0.00,15.00
15,9/14/2023,14 09 2023 00:14:00,0.00,15.20
16,9/14/2023,14 09 2023 00:15:00,0.00,15.40
17,9/14/2023,14 09 2023 00:16:00,0.00,15.10
18,9/14/2023,14 09 2023 00:17:00,0.00,14.50
19,9/14/2023,14 09 2023 00:18:00,0.00,15.10
20,9/14/2023,14 09 2023 00:19:00,0.00,15.30
21,9/14/2023,14 09 2023 00:20:00,0.00,15.40
22,9/14/2023,14 09 2023 00:21:00,0.00,15.40
23,9/14/2023,14 09 2023 00:22:00,0.00,14.50
24,9/14/2023,14 09 2023 00:23:00,0.00,14.30
25,9/14/2023,14 09 2023 00:24:00,0.00,14.50
26,9/14/2023,14 09 2023 00:25:00,0.00,14.80
27,9/14/2023,14 09 2023 00:26:00,0.00,15.00
28,9/14/2023,14 09 2023 00:27:00,0.00,15.00
29,9/14/2023,14 09 2023 00:28:00,0.00,15.10
30,9/14/2023,14 09 2023 00:29:00,0.00,15.10
31,9/14/2023,14 09 2023 00:30:00,0.00,14.60
32,9/14/2023,14 09 2023 00:31:00,0.00,14.60
33,9/14/2023,14 09 2023 00:32:00,0.00,14.30
34,9/14/2023,14 09 2023 00:33:00,0.00,14.40
35,9/14/2023,14 09 2023 00:34:00,0.00,14.20
36,9/14/2023,14 09 2023 00:35:00,0.00,14.10
37,9/14/2023,14 09 2023 00:36:00,0.00,14.10
38,9/14/2023,14 09 2023 00:37:00,0.00,14.80
39,9/14/2023,14 09 2023 00:38:00,0.00,14.90
40,9/14/2023,14 09 2023 00:39:00,0.00,14.90
41,9/14/2023,14 09 2023 00:40:00,0.00,15.00
42,9/14/2023,14 09 2023 00:41:00,0.00,15.10
43,9/14/2023,14 09 2023 00:42:00,0.00,14.90
44,9/14/2023,14 09 2023 00:43:00,0.00,15.00
45,9/14/2023,14 09 2023 00:44:00,0.00,15.00
46,9/14/2023,14 09 2023 00:45:00,0.00,15.00
47,9/14/2023,14 09 2023 00:46:00,0.00,14.80
48,9/14/2023,14 09 2023 00:47:00,0.00,14.80
49,9/14/2023,14 09 2023 00:48:00,0.00,15.00
50,9/14/2023,14 09 2023 00:49:00,0.00,14.80
51,9/14/2023,14 09 2023 00:50:00,0.00,14.80
52,9/14/2023,14 09 2023 00:51:00,0.00,14.90
53,9/14/2023,14 09 2023 00:52:00,0.00,15.00
54,9/14/2023,14 09 2023 00:53:00,0.00,15.00
55,9/14/2023,14 09 2023 00:54:00,0.00,15.00
56,9/14/2023,14 09 2023 00:55:00,0.00,15.00
57,9/14/2023,14 09 2023 00:56:00,0.00,14.90
58,9/14/2023,14 09 2023 00:57:00,0.00,15.00
59,9/14/2023,14 09 2023 00:58:00,0.00,15.00
60,9/14/2023,14 09 2023 00:59:00,0.00,15.10
61,9/14/2023,14 09 2023 01:00:00,0.00,15.10
62,9/14/2023,14 09 2023 01:01:00,0.00,15.10
63,9/14/2023,14 09 2023 01:02:00,0.00,15.10
64,9/14/2023,14 09 2023 01:03:00,0.00,15.10
65,9/14/2023,14 09 2023 01:04:00,0.00,15.10
66,9/14/2023,14 09 2023 01:05:00,0.00,15.00
67,9/14/2023,14 09 2023 01:06:00,0.00,14.80
68,9/14/2023,14 09 2023 01:07:00,0.00,14.90
69,9/14/2023,14 09 2023 01:08:00,0.00,15.10
70,9/14/2023,14 09 2023 01:09:00,0.00,15.10
71,9/14/2023,14 09 2023 01:10:00,0.00,15.20
72,9/14/2023,14 09 2023 01:11:00,0.00,15.30
73,9/14/2023,14 09 2023 01:12:00,0.00,15.20
74,9/14/2023,14 09 2023 01:13:00,0.00,15.30
75,9/14/2023,14 09 2023 01:14:00,0.00,15.30
76,9/14/2023,14 09 2023 01:15:00,0.00,15.30
77,9/14/2023,14 09 2023 01:16:00,0.00,15.20
78,9/14/2023,14 09 2023 01:17:00,0.00,15.20
79,9/14/2023,14 09 2023 01:18:00,0.00,15.30
80,9/14/2023,14 09 2023 01:19:00,0.00,15.40
81,9/14/2023,14 09 2023 01:20:00,0.00,15.30
82,9/14/2023,14 09 2023 01:21:00,0.00,15.40
83,9/14/2023,14 09 2023 01:22:00,0.00,15.40
84,9/14/2023,14 09 2023 01:23:00,0.00,15.40
85,9/14/2023,14 09 2023 01:24:00,0.00,15.50
86,9/14/2023,14 09 2023 01:25:00,0.00,15.50
87,9/14/2023,14 09 2023 01:26:00,0.00,15.60
88,9/14/2023,14 09 2023 01:27:00,0.00,15.60
