indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;2022-11-15;0:00:00;7543,83;14,27;686;5048;165,21;174;1470,62
2;2022-11-15;0:01:29;7630,21;14,07;876,81;5016,4;189,25;115,63;1432,13
3;2022-11-15;0:02:59;8545,79;14,15;944,56;5096,75;215,78;140,56;2148,14
4;2022-11-15;0:04:29;7369,67;14,29;960,07;3844,5;303,47;143,75;2117,88
5;2022-11-15;0:05:59;5912,25;14,7;983,73;2291,75;265;152,63;2219,14
6;2022-11-15;0:07:29;5840,18;14,79;868,59;3264,38;195,33;109,57;1402,31
7;2022-11-15;0:08:59;3928,18;14,94;9;1660,89;384,5;150,22;1723,56
8;2022-11-15;0:10:29;3209,5;15,3;353,75;876,25;307;163,75;1508,75
9;2022-11-15;0:11:59;2842,64;15,27;707,5;1078,5;264,82;176,78;615,04
10;2022-11-15;0:13:29;4853,94;14,86;0;3510;146,8;82,5;1114,64
11;2022-11-15;0:14:59;6456;14,53;0;5060;123,86;127,78;1144,37
12;2022-11-15;0:16:29;4149,06;15,06;0;1749,44;408,94;193,67;1797
13;2022-11-15;0:17:59;2550,63;15,24;0;826,1;123;115,8;1485,73
14;2022-11-15;0:19:29;3830,4;15,29;1991;814,43;123,09;85,78;816,1
15;2022-11-15;0:20:59;4376,17;14,94;2547,18;731;106,63;59,5;931,86
16;2022-11-15;0:22:29;5228,47;14,95;2566,31;827,5;192,94;120,25;1521,48
17;2022-11-15;0:23:59;4814,75;14,89;2625,71;756;111,87;168,11;1153,05
18;2022-11-15;0:25:29;5210,57;14,82;2647,08;817,33;178,44;161,13;1406,6
19;2022-11-15;0:26:59;4999,41;14,9;2604,44;799,22;155,17;146,5;1294,08
20;2022-11-15;0:28:29;5796,88;14,6;3807,07;695,44;42;86,75;1165,61
21;2022-11-15;0:29:59;7723,18;14,25;6364,75;307;87,25;81,83;882,34
22;2022-11-15;0:31:29;7683,23;14,09;6366,69;234,81;17,25;101,38;963,1
23;2022-11-15;0:32:59;7942,27;13,95;6383,27;469,63;174,58;141;773,79
24;2022-11-15;0:34:29;8800,73;14;6397,12;704,44;104,5;117;1477,67
25;2022-11-15;0:35:59;8761,12;13,76;6328,46;1346;14;137,22;935,43
26;2022-11-15;0:37:29;10324,6;13,47;6371,47;2524,56;98;139,33;1191,24
27;2022-11-15;0:38:59;10362,87;13,43;6379,33;2514,44;66,64;150,78;1251,67
28;2022-11-15;0:40:29;10563,47;13,35;6390,46;2573,13;127,06;118,11;1354,71
29;2022-11-15;0:41:59;9642,61;13,61;4337,81;3009,56;260,83;165,43;1868,98
30;2022-11-15;0:43:29;11952,71;13,03;6315,88;4858,78;19;67,75;691,3
31;2022-11-15;0:44:59;12673,56;12,86;6359,77;4915,89;38;95,88;1264,03
32;2022-11-15;0:46:29;12189,37;12,99;4970;5000,75;165;154,17;1899,45
33;2022-11-15;0:47:59;10161,24;13,41;2789,5;4948,3;272,06;203,1;1948,28
34;2022-11-15;0:49:29;9707,57;13,57;2790;4953,5;143,12;174,11;1646,84
35;2022-11-15;0:50:59;8810;13,77;1604,38;4977,44;235,93;189,44;1802,8
36;2022-11-15;0:52:29;8008,87;14,06;955,5;4955,67;176,24;136,5;1784,96
