indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
1;9/30/22;0:00:00;4232,75;14,68;0,00;2404,10;101,53;161,78;1565,34
2;9/30/22;0:01:29;6151,56;14,23;0,00;5025,44;99,67;120,86;905,59
3;9/30/22;0:02:59;6564,75;14,00;0,00;5056,22;86,89;80,13;1341,51
4;9/30/22;0:04:29;6568,65;13,81;0,00;5044,11;106,40;96,44;1321,69
5;9/30/22;0:05:59;6490,69;13,60;0,00;5028,22;185,44;83,33;1193,69
6;9/30/22;0:07:29;6370,12;13,35;0,00;5027,44;103,53;42,13;1197,02
7;9/30/22;0:08:59;6405,50;13,14;0,00;5016,88;86,12;84,25;1218,26
8;9/30/22;0:10:29;6696,08;13,02;0,00;5017,33;215,69;96,44;1366,61
9;9/30/22;0:11:59;6648,07;12,92;0,00;5005,09;141,22;155,25;1346,50
10;9/30/22;0:13:29;6722,15;12,84;50,50;5014,33;132,31;166,22;1358,79
11;9/30/22;0:14:59;6653,93;12,85;101,00;5004,57;105,86;89,44;1353,06
12;9/30/22;0:16:29;6705,69;12,80;151,50;5010,12;190,29;83,50;1270,27
13;9/30/22;0:17:59;6773,50;12,82;202,00;5024,30;109,31;90,71;1347,17
14;9/30/22;0:19:29;6081,88;12,97;0,00;4096,22;158,00;106,86;1720,80
15;9/30/22;0:20:59;5774,75;13,17;0,00;3614,50;254,56;136,89;1768,81
16;9/30/22;0:22:29;5716,08;13,42;0,00;3616,60;161,07;121,00;1817,41
17;9/30/22;0:23:59;5584,47;13,58;0,00;3529,13;177,39;220,33;1657,62
18;9/30/22;0:25:29;4642,27;14,11;0,00;1942,67;382,06;211,78;2105,76
19;9/30/22;0:26:59;3538,59;14,69;0,00;890,62;308,29;285,89;2053,78
20;9/30/22;0:28:29;3206,00;15,12;0,00;708,50;241,13;152,89;2103,49
21;9/30/22;0:29:59;2065,94;15,45;0,00;77,33;160,88;106,78;1720,95
22;9/30/22;0:31:29;1945,79;15,09;0,00;767,67;218,00;71,25;888,87
23;9/30/22;0:32:59;3652,72;15,45;0,00;1126,67;204,67;139,13;2182,26
24;9/30/22;0:34:29;3656,06;15,29;0,00;2555,67;73,00;61,50;965,89
25;9/30/22;0:35:59;3775,88;14,92;0,00;2521,22;182,67;175,25;896,74
26;9/30/22;0:37:29;3789,94;14,59;0,00;2703,44;139,13;143,25;804,12
27;9/30/22;0:38:59;4875,83;14,59;0,00;3078,67;249,20;90,80;1457,17
28;9/30/22;0:40:29;2690,00;14,89;0,00;821,00;154,64;103,25;1611,11
29;9/30/22;0:41:59;2764,68;14,88;0,00;818,80;245,68;109,88;1590,32
30;9/30/22;0:43:29;2905,94;15,13;89,68;891,50;214,39;108,89;1601,49
31;9/30/22;0:44:59;3416,79;14,84;179,35;2433,89;155,64;0,00;647,91
32;9/30/22;0:46:29;3985,56;14,73;269,03;2163,78;311,27;117,83;1123,64
33;9/30/22;0:47:59;2860,93;15,01;358,71;844,38;182,00;134,60;1341,25
34;9/30/22;0:49:29;3896,80;14,86;448,38;2324,33;57,50;209,33;857,25
35;9/30/22;0:50:59;4372,29;14,72;538,06;2798,22;101,77;90,56;843,68
36;9/30/22;0:52:29;5654,71;14,47;627,74;4381,00;166,73;50,00;429,24
37;9/30/22;0:53:59;3319,59;14,80;717,41;944,88;253,11;206,62;1197,56
38;9/30/22;0:55:29;4981,00;14,64;807,09;3601,56;94,14;91,20;387,01
39;9/30/22;0:56:59;6593,60;14,39;896,77;5065,13;167,31;62,83;401,57
40;9/30/22;0:58:29;6442,08;14,22;986,44;5065,13;39,00;26,67;324,85
41;9/30/22;0:59:59;6604,36;14,07;1076,12;5045,86;78,00;68,43;335,95
42;9/30/22;1:01:29;6785,15;13,98;1165,80;5058,00;137,81;167,00;256,54
43;9/30/22;1:02:59;6709,00;13,87;1255,47;5060,88;138,69;143,63;110,34
44;9/30/22;1:04:29;6510,69;13,74;1345,15;5033,75;19,00;81,62;31,16
